"","main_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"279","Biden Warns Putin to Act Against Ransomware Groups, or U.S. Will Strike Back","negative","negative","negative","negative",NA
"280","Biden Will Nominate First Women to Lead Treasury and Intelligence, and First Latino to Run Homeland Security","positive","positive",NA,"negative",NA
"281","Biden, Setting Afghanistan Withdrawal, Says ‘It Is Time to End the Forever War’",NA,"negative","negative","negative",NA
"282","Biden, Speaking to National Guard Group, Takes Aim at Republican Criticism on Crime","negative","negative","negative","negative",NA
"283","Biden’s Afghan Pullout Is a Victory for Pakistan. But at What Cost?","positive","positive",NA,"negative",NA
"284","Biden’s Inaccurate Claims in Defending Afghanistan Withdrawal","negative","neutral","negative","negative",NA
"285","Biden’s Meeting With Israeli Leader Delayed After Kabul Attack","negative","negative","negative","negative",NA
"286","Biden’s National Security Team Offers a Sharp Turn. But in Which Direction?","positive","positive",NA,"negative",NA
"287","Biden’s Pentagon Pick Reignites Debate Over Civilian Control of Military",NA,"positive",NA,"negative",NA
"288","Biden’s Plan to End Afghanistan War Gives Some Detainees Hope for Release",NA,"positive","neutral","negative",NA
"289","Biden’s Vaccine Push Aligns Him With a Fed-Up, Vaccinated Majority",NA,"positive",NA,"negative",NA
"290","Blast at Pakistani Religious School Kills at Least 8","negative","negative","negative","negative",NA
"291","Blast That Killed Chinese Workers in Pakistan Was a Terrorist Attack, Officials Say","negative","negative","negative","negative",NA
"292","Blinken and G7 Allies Turn Their Focus to ‘Democratic Values’",NA,"positive",NA,"negative",NA
"293","Blinken, Without Leaving Home, Tries to Mend Fences With Allies Abroad",NA,NA,NA,"negative",NA
"294","Blinken’s Welcome by NATO Doesn’t Hide Differences on Key Issues","negative","negative","negative","negative",NA
"295","Blood Lust and Demigods: Behind an Australian Force’s Slaughter of Helpless Afghans","negative","negative","negative","negative",NA
"296","Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’","negative","negative","negative","negative",NA
"297","Body of Reuters Photographer Was Mutilated in Taliban Custody, Officials Say",NA,"negative",NA,"negative",NA
"298","Body Parts Found in Landing Gear of Flight From Kabul, Officials Say",NA,"positive",NA,"negative",NA
"299","Bolton Says Trump Impeachment Inquiry Missed Other Troubling Episodes","negative","positive","negative","negative",NA
"300","Bombing Outside Afghan School Kills at Least 90, With Girls as Targets","negative","positive","negative","negative",NA
"301","Border Clashes With Pakistan Leave 15 Afghan Civilians Dead, Officials Say","negative","negative","negative","negative",NA
"302","Border Standoff Over Afghan Migrants Highlights E.U. Fears of New Influx","negative","negative",NA,"negative",NA
"303","Boris Johnson Cuts a Colorful Swath in U.S., but to What End?","positive",NA,"negative","negative",NA
"304","Born Into Carnage, 18 Afghan Babies Face an Uncertain Fate","negative","negative","negative","negative",NA
"305","Bounties Uproar Casts a Shadow Over a Rare Trump Foreign Policy Achievement","positive","positive",NA,"negative",NA
"306","Breaking With Predecessors, Biden Declares Mass Killings of Armenians a Genocide","negative",NA,NA,"negative",NA
"307","Britain Accelerates Relocation of Afghan Interpreters to U.K.",NA,NA,NA,"negative",NA
"308","Britons, Unfazed by High Covid Rates, Weigh Their ‘Price of Freedom’","positive","positive","positive","negative",NA
"309","Budding Resistance to the Taliban Faces Long Odds","negative","negative",NA,"negative",NA
"310","Bush Says G.O.P. Has Become ‘to Some Degree Nativist’",NA,"positive",NA,"negative",NA
"311","By Air and Sea, Mercenaries Landed in Libya. Then the Plan Went South.",NA,"positive",NA,"negative",NA
"312","C.I.A. Officer Is Killed in Somalia","negative","positive","negative","negative",NA
"313","C.I.A. Scrambles for New Approach in Afghanistan","negative",NA,NA,"negative",NA
"314","C.I.A. Uncensors Memoir of F.B.I. Agent Who Protested Torture of Terrorists","negative","negative","negative","negative",NA
"315","Calling ‘Code Red’ on Climate, Biden Pushes for Infrastructure Plan",NA,"positive",NA,"negative",NA
"316","Can Afghanistan’s Leading Broadcaster Survive the Taliban?","positive","positive",NA,"negative",NA
"317","Canada’s Top Military Officer Steps Aside Amid Investigation","positive","positive","positive","negative",NA
"318","Canadian Veterans Fill Void to Help Afghans Who Once Worked With Them",NA,"positive",NA,"negative",NA
"319","Capitol Rioters Face the Consequences of Their Selfie Sabotage","negative","negative","negative","negative",NA
"320","Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",NA,NA,"negative","negative",NA
"321","Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",NA,NA,"negative","negative",NA
"322","Caving to Islamists, Pakistan’s Parliament Debates Expelling French Ambassador",NA,"positive","negative","negative",NA
"323","Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count","neutral","positive","positive","negative",NA
"324","Central Asian Border Dispute Casts Shadow Over U.S. Afghan Departure","negative","negative","negative","negative",NA
"325","Chaos Ensues at Kabul Airport as Americans Abandon Afghanistan","negative","negative","negative","negative",NA
"326","Chaos Persists at Kabul Airport as Taliban Discuss New Government","negative","negative","negative","negative",NA
"327","Charges in Bali Bombing Case Are Delayed at Guantánamo","negative","negative","negative","negative",NA
"328","Charter Flights Delayed as U.S. and Taliban Struggle to Work Together","negative","negative","negative","negative",NA
"329","Chief Guantánamo Prosecutor Retiring Before Sept. 11 Trial Begins",NA,NA,NA,"negative",NA
"330","China Criticized the Afghan War. Now It Worries About the Withdrawal.","negative","negative","negative","negative",NA
"331","China Is Preparing for Another Olympics in Beijing, Like It or Not",NA,NA,NA,"negative",NA
"332","China Offers the Taliban a Warm Welcome While Urging Peace Talks","positive","positive","positive","negative",NA
"333","China Poses Biggest Threat to U.S., Intelligence Report Says","neutral","negative","negative","negative",NA
"334","China’s Combative Nationalists See a World Turning Their Way","negative","negative",NA,"negative",NA
"335","Climate, Covid and Biden’s Challenged Credibility Underline U.N.’s Big Week",NA,"positive",NA,"negative",NA
"336","Clinic Bombed as Afghan Forces Fend Off Taliban Attack on Kunduz","negative","negative","negative","negative",NA
"337","Collapse and Conquest: The Taliban Strategy That Seized Afghanistan","negative","negative","negative","negative",NA
"338","Congress approves a $2.1 billion emergency spending bill for Capitol security and aid for Afghan refugees.","negative","negative","neutral","negative",NA
"339","Congress Moves to Increase Pentagon Budget, Defying Biden and Liberals",NA,"positive","positive","negative",NA
"340","Congress Presses Military Leaders on Suspected Russian Bounties",NA,"negative","negative","negative",NA
"341","Congressman Max Rose Deploys With National Guard for Coronavirus Relief","positive","positive",NA,"negative",NA
"342","Conjuring Up the World Through the Sense of Taste",NA,"neutral",NA,"negative",NA
"343","Coronavirus Diplomacy: How China’s Red Cross Serves the Communist Party",NA,"negative",NA,"negative",NA
"344","Coronavirus Finds Fuel in a World of Migrants",NA,NA,NA,"negative",NA
"345","Could the Taliban Take Over Afghanistan? Here’s What We Know.",NA,NA,NA,"negative",NA
"346","Court in Pakistan Bans ‘Virginity Tests’ in Sexual Violence Cases",NA,"negative","negative","negative",NA
"347","Crisis in the Sahel Becoming France’s Forever War","negative","negative","negative","negative",NA
"348","Crisis in the Sahel Becoming France’s Forever War","negative","negative","negative","negative",NA
"349","Danish Siddiqui, Reuters Photojournalist, Is Killed in Afghanistan","negative",NA,"negative","negative",NA
"350","Day 1 of the End of the U.S. War in Afghanistan",NA,"negative","negative","negative",NA
"351","Deadly Explosion Hits Kabul Tutoring Center","negative","negative",NA,"negative",NA
"352","Deadly School Assault Catapults Kabul into Even More Despair","negative","negative","negative","negative",NA
"353","Debate Over Presidential War Powers Sets Up Test for a Divided G.O.P.",NA,"negative","negative","negative",NA
"354","Debating Exit From Afghanistan, Biden Rejected Generals’ Views","negative","negative","negative","negative",NA
"355","Deeply Divided, House Democrats Battle Over Priorities and Politics",NA,"negative","negative","negative",NA
"356","Defense Chief Says He Advised Against Staying in Afghanistan ‘Forever’",NA,"positive",NA,"negative",NA
"357","Defense Secretary Backs Changes to Military Law on Sexual Assault","negative","negative",NA,"negative",NA
"358","Defense Secretary Will Assess How to Promote More Minorities in Military",NA,"negative","positive","negative",NA
"359","Demand for Pakistan Visas Sets Off Deadly Stampede in Afghanistan","negative","negative","negative","negative",NA
"360","Democrats Hit the Road to Sell Big Spending Bills as Republicans Attack","negative","negative","negative","negative",NA
"361","Democrats Investigating Why White House Ended Ban on Some Gun Silencer Sales",NA,"negative","negative","negative",NA
"362","Democrats Move to Avert Shutdown, but Divisions Imperil Biden’s Agenda","negative",NA,"negative","negative",NA
"363","Democrats to Pair Spending Bill With Raising Debt Ceiling, Pressuring G.O.P.","negative","negative","negative","negative",NA
"364","Departure of U.S. Contractors Poses Myriad Problems for Afghan Military",NA,"negative",NA,"negative",NA
"365","Desperate Afghan Women Wait for U.S. Protection, as Promised","positive","negative","negative","negative",NA
"366","Desperation as Afghans Seek to Flee a Country Retaken by the Taliban","negative","negative",NA,"negative",NA
"367","Did the War in Afghanistan Have to Happen?",NA,"negative","negative","negative",NA
"368","Does Requiring Only Men to Register for the Draft Violate the Constitution?","negative","positive","negative","negative",NA
"369","Donald H. Rumsfeld, Defense Secretary During Iraq War, Is Dead at 88","negative","negative","negative","negative",NA
"370","Donald Rumsfeld, Architect of War in Afghanistan, Is Laid to Rest",NA,"negative","negative","negative",NA
"371","Donors Pledge Less Aid to Afghanistan During a Violent Chapter","negative","positive","negative","negative",NA
"372","Donors Send Quake Aid to Haiti, but for How Long?",NA,"neutral",NA,"negative",NA
"373","Dozens Test Positive for Coronavirus at Afghan President’s Palace","positive",NA,"positive","negative",NA
"374","Dr. Gino Strada, Who Brought Health Care to the Desperate, Dies at 73","negative","negative","negative","negative",NA
"375","Dueling Claims to Power. Broken Institutions. How Does Haiti Fix This?","negative","negative","negative","negative",NA
"376","Duncan Hunter Sentenced to 11 Months in Prison for Stealing Campaign Funds","negative","negative","negative","negative",NA
"377","E.U. Offers Cash and More Deportations in New Plan for Migrants",NA,"positive",NA,"negative",NA
"378","E.U. to Offer 2,000 Euros to Migrants in Greece to Go Home",NA,"positive",NA,"negative",NA
"379","Eager to Shift Narrative, Biden Team Puts Airlift in Historical Context","positive","positive","positive","negative",NA
"380","Elite Afghan Forces Suffer Horrific Casualties as Taliban Advance","negative","positive","negative","negative",NA
"381","Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits",NA,"positive","positive","negative",NA
"382","Emulating Democrats, G.O.P. Ties House Hopes to Diverse Recruits",NA,"positive","positive","negative",NA
"383","Erik Prince Recruits Ex-Spies to Help Infiltrate Liberal Groups",NA,"positive",NA,"negative",NA
"384","Erik Prince, Trump Ally, Denies Role in Libya Mercenary Operation","neutral","positive","negative","negative",NA
"385","Europe Lauds Biden but Wonders: What Will He Want? How Long Will He Stay?","positive",NA,NA,"negative",NA
"386","European Court Backs Germany in Case Over 2009 Killings of Afghan Civilians",NA,"negative",NA,"negative",NA
"387","Evacuations for Afghans Who Helped U.S. Troops Will Begin This Month","positive",NA,NA,"negative",NA
"388","Evacuations From Kabul Wind Down as U.S. Prepares to Pull Last Troops",NA,"positive",NA,"negative",NA
"389","Even Suicide Bombings Can’t Keep These Students From School","negative","negative","negative","negative",NA
"390","Executive Order Halting New Green Cards Includes Exceptions",NA,"neutral",NA,"negative",NA
"391","Ex-F.B.I. Agent Who Vanished on C.I.A. Mission to Iran Is Most Likely Dead, U.S. Concludes","negative","negative","negative","negative",NA
"392","Ex-Intelligence Analyst Is Sentenced for Leaking to a Reporter","neutral","positive","negative","negative",NA
"393","F.B.I. Finds Links Between Pensacola Gunman and Al Qaeda",NA,NA,NA,"negative",NA
"394","Father of Slain Marine Finds Heartbreak Anew in Possible Russian Bounty",NA,"positive",NA,"negative",NA
"395","Father Soldier Son",NA,"neutral",NA,"negative",NA
"396","Fear Sets In as Taliban Seize Former Bastions of Resistance","negative","negative","negative","negative",NA
"397","Fearing Kabul’s Fall, U.S. Officials Implore Afghans to ‘Fight’","negative","negative","negative","negative",NA
"398","Fears Rise About Safety of Afghan Airport as U.S. Warns Americans to Stay Away","negative","positive","negative","negative",NA
"399","Fears That Trump Might Launch a Strike Prompted General to Reassure China, Book Says","neutral","positive","neutral","negative",NA
"400","Feeling Spurned by Trump, U.N. Sees Redemption in Biden and Team","positive","positive","positive","negative",NA
"401","Fighting Patriarchy, and Fearing Worse From the Taliban","negative","negative","negative","negative",NA
"402","Fire Destroys Most of Europe’s Largest Refugee Camp, on Greek Island of Lesbos",NA,"negative","negative","negative",NA
"403","First Flight From Kabul Is Hailed as Positive Step Amid Troubling Signs","neutral",NA,"positive","negative",NA
"404","First Resistance to Taliban Rule Tests Afghanistan’s Uncertain Future","negative","negative","negative","negative",NA
"405","First Tied to ISIS, Then to U.S.: Family in Drone Strike Is Tarnished Twice","negative","negative","negative","negative",NA
"406","First Woman Joins Green Berets After Graduating From Special Forces Training",NA,"positive",NA,"negative",NA
"407","Foes in Afghan War See a Common Threat of Islamic State’s Return","negative","negative","negative","negative",NA
"408","For Afghan Women, Taliban Stir Fears of Return to a Repressive Past","negative",NA,NA,"negative",NA
"409","For Afghanistan Already on Brink, U.S. Aid Cut Is a Big Shove",NA,"negative","negative","negative",NA
"410","For America, and Afghanistan, the Post-9/11 Era Ends Painfully","negative","negative",NA,"negative",NA
"411","For Biden, Deliberation and Caution, Maybe Overcaution, on the World Stage",NA,"negative",NA,"negative",NA
"412","For Biden, Images of Defeat He Wanted to Avoid","positive","negative","negative","negative",NA
"413","For Decades, This Radio Station Named the Dead. Few Still Listen.","negative","positive","negative","negative",NA
"414","For Flynn, Dropped Charges Are the Latest in a Life Full of Reversals",NA,NA,"negative","negative",NA
"415","For Immigrants Watching a Mob Storm the Capitol, a Sense of Shock and Shame","negative","negative","negative","negative",NA
"416","For India’s Military, a Juggling Act on Two Hostile Fronts","negative","negative","negative","negative",NA
"417","For Netanyahu and Israel, Trump’s Gifts Kept on Coming",NA,"positive",NA,"negative",NA
"418","For Some, Afghanistan Outcome Affirms a Warning: Beware the Blob","negative","negative","negative","negative",NA
"419","For Veterans, Bonds Forged in Battle Are Tested by 2020’s Rancor","negative","negative","negative","negative",NA
"420","For Women in Afghan Security Forces, a Daily Battle",NA,"negative","negative","negative",NA
"421","Former Commanders Fault Trump’s Use of Troops Against Protesters","negative","negative","negative","negative",NA
"422","Four Jagged Puzzle Pieces and a Few Weeks for Democrats to Assemble Them","negative",NA,NA,"negative",NA
"423","Freed From Guantánamo, but Still in Limbo 15 Years Later","positive",NA,NA,"negative",NA
"424","French Military Says It Killed Top Qaeda Leader in Africa","neutral","positive","negative","negative",NA
"425","Fresh From Iran’s Coronavirus Zone, Now Moving Across Afghanistan","positive",NA,"positive","negative",NA
"426","From Afar, Congress Moves to Oversee Trump Coronavirus Response","positive","positive",NA,"negative",NA
"427","From Afghanistan to the World Cup, Tiny, Wealthy Qatar Steps Up","positive",NA,"positive","negative",NA
"428","From Kabul Airport to a Houston Walmart: ‘Desperate to Get to America’","negative","neutral","negative","negative",NA
"429","From Maternity Ward to Cemetery, a Morning of Murder in Afghanistan","negative","negative","negative","negative",NA
"430","From Taliban Terror to Beach Resort: A Strange Journey for Some Refugees","negative","positive","negative","negative",NA
"431","From the Afghan Peace Deal, a Weak and Pliable Neighbor for Pakistan","neutral","positive","neutral","negative",NA
"432","From Victims to Superwomen: Honoring Female Strength in Afghanistan","positive","positive","positive","negative",NA
"433","G.O.P. Convention Skims Over Trump’s ‘Unfinished Business’ in Foreign Policy","negative","neutral",NA,"negative",NA
"434","General Warns of Challenges to Tracking Terrorist Threats in Afghanistan After U.S. Exits","negative","negative","negative","negative",NA
"435","George P. Shultz, Top Cabinet Official Under Nixon and Reagan, Dies at 100","neutral","positive","positive","negative",NA
"436","German Neo-Nazi Sentenced to Life for Murder of Merkel Ally","negative","negative","negative","negative",NA
"437","Germany to Take In 1,500 Refugees, Easing Burden on Greece After Fires","neutral",NA,"negative","negative",NA
"438","Germany’s Far Right Is Nowhere in the Election. But It’s ‘Here to Stay.’",NA,NA,NA,"negative",NA
"439","Ghani Takes the Oath of Afghan President. His Rival Does, Too.","negative","positive",NA,"negative",NA
"440","Giant Puppet Ruffles Some Feathers on a Long Walk Through Greece","negative","negative",NA,"negative",NA
"441","Gil Loescher, 75, Refugees Expert Who Survived Iraq Bombing, Dies","negative","positive","positive","negative",NA
"442","Graduating West Point Cadets Isolate for Two Weeks Ahead of Trump Speech","neutral","positive",NA,"negative",NA
"443","Green Beret Charged in Shooting Spree Was Visiting Family, Prosecutor Says",NA,"negative","negative","negative",NA
"444","Grenell Pursued Talks Over Change of Power in Venezuela",NA,"negative",NA,"negative",NA
"445","Grilled by G.O.P. senators, Blinken defends Biden administration’s Afghanistan exit.",NA,NA,NA,"negative",NA
"446","Grim Image of India Prompts Debate Over China’s Swaggering Propaganda","negative","negative","negative","negative",NA
"447","Guantánamo Prosecutors Ask to Strike Information Gained From Torture","negative","negative","negative","negative",NA
"448","Gunmen Kill Dozens at Event Attended by Afghan Politicians","negative","negative","negative","negative",NA
"449","Gunmen Storm Kabul University, Killing at Least 19","negative","negative","negative","negative",NA
"450","Harry and Meghan to Give Up Official Royal Family Duties",NA,"negative",NA,"negative",NA
"451","Has ‘America First’ Become ‘Trump First’? Germans Wonder","positive","positive",NA,"negative",NA
"452","He Built a Robot to Prove a Point About Refugees",NA,"positive",NA,"negative",NA
"453","He Built a Trump Statue and Worshiped It. Then He Collapsed.","positive","positive","positive","negative",NA
"454","He Killed 2 Marines in 2011. It Almost Derailed Peace Talks This Month.","neutral","positive","negative","negative",NA
"455","He Saved 31 People at Sea. Then Got a 142-Year Prison Sentence.","negative","negative","negative","negative",NA
"456","He Sidestepped Pompeo and Got Slapped Down. Now He’s the New Pentagon Chief.",NA,NA,NA,"negative",NA
"457","He was a baby on 9/11. Now he’s one of the last casualties of America’s longest war.",NA,"neutral","negative","negative",NA
"458","Her Study Center Was Bombed. She Still Topped Afghanistan’s National University Exam.",NA,"positive",NA,"negative",NA
"459","Here Are Some of the People Trump Pardoned","positive","positive","positive","negative",NA
"460","House approves $1 billion for the Iron Dome as Democrats feud over Israel.",NA,"neutral","positive","negative",NA
"461","House Passes Bill to Speed Visas for Afghans Imperiled for Aiding U.S.",NA,"positive",NA,"negative",NA
"462","House Passes Defense Bill Overwhelmingly, Defying Trump’s Veto Threat","negative","negative","negative","negative",NA
"463","House Passes Spending Bill and Debt Limit Increase Over G.O.P. Opposition","negative","negative","negative","negative",NA
"464","House Sends Trump Bill to Restrict War Powers on Iran, Setting Up Veto","neutral","negative","negative","negative",NA
"465","House Taps Military Official to Lead Security","positive","positive",NA,"negative",NA
"466","House Votes to Override Trump’s Veto of Military Bill",NA,"negative",NA,"negative",NA
"467","How 2 Afghan Paralympians Defied the Odds to Get From Kabul to Tokyo",NA,NA,NA,"negative",NA
"468","How a Longstanding Rivalry Spiraled Into 5 Deaths Between 2 Families","negative","negative",NA,"negative",NA
"469","How an Afghan Political Crisis Derailed Payments to War Victims","negative","negative","negative","negative",NA
"470","How Long Can the Afghan Security Forces Last on Their Own?",NA,NA,NA,"negative",NA
"471","How Many People in Afghanistan Need to be Rescued? The Number Remains Elusive.",NA,"negative","positive","negative",NA
"472","How Russia Built a Channel to the Taliban, Once an Enemy","negative","negative","negative","negative",NA
"473","How Space Became the Next ‘Great Power’ Contest Between the U.S. and China",NA,NA,NA,"negative",NA
"474","How Students in 12 Countries Are Taught About 9/11",NA,"positive",NA,"negative",NA
"475","How the G.O.P. Lost Its Clear Voice on Foreign Policy","negative","negative","negative","negative",NA
"476","How the Pandemic Is Imperiling a Working-Class College",NA,"negative",NA,"negative",NA
"477","How the Taliban Outlasted a Superpower: Tenacity and Carnage","neutral","negative",NA,"negative",NA
"478","How the U.S. Plans to Fight From Afar After Troops Exit Afghanistan",NA,"negative","negative","negative",NA
"479","How the World’s Largest Coronavirus Outbreaks Are Growing",NA,NA,"positive","negative",NA
"480","How Will the Taliban Govern? A History of Rebel Rule Offers Clues.",NA,"negative",NA,"negative",NA
"481","Hundreds of Migrants Stranded in Freezing Weather in Bosnia","negative","negative",NA,"negative",NA
"482","Hunted by the Taliban, U.S.-Allied Afghan Forces Are in Hiding",NA,"positive","negative","negative",NA
"483","I.C.C. Allows Afghanistan War Crimes Inquiry to Proceed, Angering U.S.",NA,"neutral","negative","negative",NA
"484","I.C.C. Will Investigate Accusations of War Crimes in Israeli-Occupied Territories","negative","negative","negative","negative",NA
"485","Ida Nudel, ‘Angel’ to Soviet Jews Seeking to Flee, Dies at 90","negative","positive",NA,"negative",NA
"486","In a Death, Details of More Russian Murder-for-Hire Plots","negative","negative","negative","negative",NA
"487","In a final blow of the 20-year war, U.S. envoys close their embassy and exit Kabul.","negative","negative","negative","negative",NA
"488","In a Village of Widows, the Opium Trade Has Taken a Deadly Toll","negative","negative",NA,"negative",NA
"489","In Abrupt Reversal of Iran Strategy, Pentagon Orders Aircraft Carrier Home","negative","negative",NA,"negative",NA
"490","In Afghan Attacks, Facts Are Murky. But It’s Clear Deaths Are Piling Up.","negative","negative","negative","negative",NA
"491","In Afghan Withdrawal, a Biden Doctrine Surfaces",NA,"positive","negative","negative",NA
"492","In Afghanistan, a Booming Kidney Trade Preys on the Poor","neutral","positive","negative","negative",NA
"493","In Afghanistan, an Unceremonious End, and a Shrouded Beginning","negative",NA,NA,"negative",NA
"494","In Afghanistan, Follow the White High-Tops and You’ll Find the Taliban","positive",NA,"positive","negative",NA
"495","In an Overrun Kabul, Many Have No Place to Run","negative",NA,NA,"negative",NA
"496","In Bid to Boost Its Profile, ISIS Turns to Africa’s Militants","positive",NA,"positive","negative",NA
"497","In Biden’s Foreign Policy, Friends and Foes Claim Echoes of Trump","positive","positive",NA,"negative",NA
"498","In Forceful Defense of Afghan Withdrawal, Biden Says U.S. Achieved Its Objectives","negative","neutral","negative","negative",NA
"499","In Former Taliban Stronghold, Defiant Women Hit the Gym","negative","negative","negative","negative",NA
"500","In Harm’s Way: Fighting the Summer Surge",NA,"negative",NA,"negative",NA
"501","In Invoking Beau, Biden Broaches a Loss That’s Guided His Presidency","negative","negative","negative","negative",NA
"502","In Italy, Some Fear the Virus Is a Get-Out-of-Jail Card for Mafiosi","negative","negative","negative","negative",NA
"503","In Kabul’s Heart, Soviet Towers Harbor Decades of Tales",NA,"positive",NA,"negative",NA
"504","In Kabul’s Streets, Dogs Rule the Night",NA,"neutral",NA,"negative",NA
"505","In Louisiana, Vaccine Misinformation Has Public Health Workers Feeling ‘Stuck’","negative","positive","negative","negative",NA
"506","In One Afghan District, Peace From 8 A.M. to 5 P.M.","positive","positive","positive","negative",NA
"507","In Panjshir, Few Signs of an Active Resistance, or Any Fight at All","negative","negative","neutral","negative",NA
"508","In Proud Corners of Afghanistan, New Calls for Autonomy","positive","positive","positive","negative",NA
"509","In Reversal, Pentagon Announces Aircraft Carrier Nimitz Will Remain in Middle East",NA,"negative",NA,"negative",NA
"510","In Shanksville, Preserving the Memory of 9/11 and the Wars That Followed",NA,NA,NA,"negative",NA
"511","In Southeast Asia, Kamala Harris’s Message: You Can Count on the U.S.",NA,"positive",NA,"negative",NA
"512","In Submarine Deal With Australia, U.S. Counters China but Enrages France",NA,"positive","negative","negative",NA
"513","In Taliban-Controlled Areas, Girls Are Fleeing for One Thing: an Education","negative",NA,NA,"negative",NA
"514","In Washington Riot, Echoes of Post-Soviet Uprisings",NA,"negative","negative","negative",NA
"515","In Washington, Recriminations Over Afghanistan Emerge Quickly",NA,NA,NA,"negative",NA
"516","In Week of Words, It Often Seemed Like the Divided Nations",NA,"negative",NA,"negative",NA
"517","Inaugural Security Is Fortified in D.C. as Military and Police Links Are Eyed in Riot",NA,"negative","negative","negative",NA
"518","India Offers Escape to Afghan Hindus and Sikhs Facing Attacks","negative","neutral","negative","negative",NA
"519","Indonesian Army to End So-Called Virginity Tests, Chief Says",NA,"positive",NA,"negative",NA
"520","Inside a Nursing Home After the Vaccine: Joy, Relief and Game Night","positive","positive","positive","negative",NA
"521","Inside the Afghan Evacuation: Rogue Flights, Crowded Tents, Hope and Chaos","negative","negative","neutral","negative",NA
"522","Inside the Capitol for Impeachment: National Guard in Every Corner",NA,"neutral",NA,"negative",NA
"523","Inside the Shadowy Militias Luring Unsuspecting Afghans to Fight, or Die","negative","negative","negative","negative",NA
"524","Inside the White House, a Gun Industry Lobbyist Delivers for His Former Patrons",NA,"negative","negative","negative",NA
"525","Instead of Reassurance, Trump’s Doctor Delivers Confusion, Experts Say","neutral","positive",NA,"negative",NA
"526","Intelligence Agencies Did Not Predict Imminence of Afghan Collapse, Officials Say","negative","negative","negative","negative",NA
"527","Intelligence Warned of Afghan Military Collapse, Despite Biden’s Assurances","neutral","negative","negative","negative",NA
"528","Intrigue Deepens at U.N. Over Myanmar and Afghanistan","positive","neutral",NA,"negative",NA
"529","Iran Executes Dissident Accused of Stoking Protests","negative","negative","negative","negative",NA
"530","Iran’s Foreign Minister, in Leaked Tape, Says Revolutionary Guards Set Policies","positive","neutral","negative","negative",NA
"531","Iraqi Detainee Reported Suffering Paralysis at Guantánamo","negative","negative","negative","negative",NA
"532","ISIS Branch Poses Biggest Immediate Terrorist Threat to Evacuation in Kabul","negative","negative","negative","negative",NA
"533","ISIS Poses ‘Acute’ Threat to U.S. Evacuation Efforts in Kabul, Sullivan Says","negative","negative","negative","negative",NA
"534","It Took a Century to Open a Mosque in Athens. Then Came the Pandemic.",NA,"negative",NA,"negative",NA
"535","It’s Election Season in Germany. No Charisma, Please!","positive",NA,NA,"negative",NA
"536","It’s Situation Normal for U.S. Diplomats in Kabul, Despite Taliban Gains","positive",NA,"positive","negative",NA
"537","Javier Pérez de Cuéllar Dies at 100; U.N. Chief Brokered Peace Pacts","neutral","positive","positive","negative",NA
"538","Jill Biden Is Chasing the President’s Most Elusive Campaign Promise: Unity","positive","positive","positive","negative",NA
"539","Joanna Harcourt-Smith, 74, Dies; Lived a ‘Psychedelic Love Story’","neutral","positive","positive","negative",NA
"540","Joe Biden Had Close Ties With Police Leaders. Will They Help Him Now?",NA,"positive",NA,"negative",NA
"541","Joe Biden’s China Journey",NA,"positive",NA,"negative",NA
"542","Joe Biden’s Time in Sarah Palin’s Shadow",NA,"positive",NA,"negative",NA
"543","John Kelly, at Center of Report on Trump Disparaging U.S. Soldiers, Keeps Silent","positive","negative","negative","negative",NA
"544","Johnson, Inviting Battle, Prepares to Break Vow on Raising Taxes","negative","positive","neutral","negative",NA
"545","Judge Orders Medical Panel to Evaluate Tortured Guantánamo Prisoner","negative","negative","negative","negative",NA
"546","Julian Assange Is Denied Bail by U.K. Judge","negative","negative","negative","negative",NA
"547","Kabul’s Sudden Fall to Taliban Ends U.S. Era in Afghanistan","negative","negative",NA,"negative",NA
"548","Kamala Harris Pledges U.S. Help for Afghan Women and Children",NA,NA,NA,"negative",NA
"549","Key Afghan City in Danger of Falling to the Taliban","negative","negative","negative","negative",NA
"550","Kyrgyzstan in Chaos After Protesters Seize Government Buildings","negative","negative","negative","negative",NA
"551","Lawmakers Delay Promotion of Officer Involved in Deadly Niger Ambush","negative","negative","negative","negative",NA
"552","Lawmakers Rush to Help Afghans Seeking Visas for Helping the U.S.","positive",NA,"positive","negative",NA
"553","Lawmakers Unite in Bipartisan Fury Over Afghanistan Withdrawal","negative","negative","negative","negative",NA
"554","Leaning on Journalists and Targeting Sources, for 50 Years",NA,"positive",NA,"negative",NA
"555","Liberals Grow Impatient With Biden’s Foreign Policy Decisions","negative","positive","negative","negative",NA
"556","Libya Cease-Fire Raises Hopes for Full Peace Deal","positive","positive","positive","negative",NA
"557","Life Inside an Afghan Women’s Prison","negative","negative","negative","negative",NA
"558","Lone Wolves Connected Online: A History of Modern White Supremacy","positive","positive",NA,"negative",NA
"559","Longtime Pentagon Watchdog Stepping Down From Post",NA,"positive",NA,"negative",NA
