"","print_text","bing_score","nrc_score","afinn_score","final_sentiment","congruence"
"295","Blood Lust and Demigods:Behind Slaughter of AfghansBy Elite Australian Squadron",0,0,NA,"neutral",FALSE
"296","Plans for German ‘Day X’  Show Revival of Far Right  ",1,4,NA,"positive",TRUE
"297","Body of Reuters Photojournalist Was Mutilated in Taliban Custody, Officials Say",NA,-1,NA,"negative",NA
"298","Body Parts  Found Inside  Landing Gear Of U.S. Plane",NA,4,NA,"positive",NA
"299","Bolton’s Book Says Trump’s Offenses Exceeded Ukraine",0,NA,NA,"neutral",NA
"300","Explosions Rock School in Kabul, Leaving 30 Dead",-1,2,-3,"negative",FALSE
"301","Afghans’ Clash  With Pakistan Over Border  Kills 15 People",-2,-2,-5,"negative",TRUE
"302","Border Standoff Sharply Highlights E.U. Fears of a New Influx",-2,-3,NA,"negative",TRUE
"303","U.K. Leader Tells Jokes But Makes Little News During Visit to the U.S.",NA,3,2,"positive",TRUE
"304","18 New Lives Born Into Carnage and Confusion",-2,-7,NA,"negative",TRUE
"305","Uproar Over Bounties Obscures Trump’s Progress in Exiting Afghanistan",-1,2,2,"positive",FALSE
"306","Biden Recognizes Ottoman-Era Massacre of Armenians as Genocide",-2,-5,NA,"negative",TRUE
"307","Britain Speeds The Relocation Of Interpreters In Afghanistan",NA,NA,NA,NA,NA
"308","Britons, Unfazed by High Infection Rates, Weigh Their ‘Price of Freedom’",1,3,2,"positive",TRUE
"309","Resistance to Taliban Gets a New Face",-1,-2,NA,"negative",TRUE
"310","Bush Scorns G.O.P. Turn On Borders And Trade",NA,1,NA,"positive",NA
"311","‘It’s a Free-for-All’: Libya’s Slide Into Mercenary War",1,-4,-1,"negative",FALSE
"312","C.I.A. Officer Is Killed In Combat in Somalia",-1,-1,-4,"negative",TRUE
"313","Afghan Exit  Forces C.I.A.  To Scramble",-1,NA,NA,"negative",NA
"314","9 Years Later, F.B.I. Agent Who Protested  Torture Gets to Tell Entire Story in Memoir",-2,-4,-4,"negative",TRUE
"315","Biden Calls ‘Code Red’ on Climate in Pushing $1 Trillion Infrastructure Plan",NA,2,NA,"positive",NA
"316","Still Broadcasting From Afghanistan, but Nervously",-1,NA,-2,"negative",TRUE
"317","Canada’s Top Military Officer Steps Aside Amid Investigation",1,5,2,"positive",TRUE
"318","Canada’s Veterans Assist  Vulnerable Interpreters",-1,2,-2,"negative",FALSE
"319","Star Witnesses Against Rioters: Their Online Boasts",NA,4,NA,"positive",NA
"320","Cluster-Bomb Casualties Nearly Doubled in 2019",-1,-3,-1,"negative",TRUE
"321","Cluster-Bomb Casualties Nearly Doubled in 2019",-1,-3,-1,"negative",TRUE
"322","Caving to Islamists, Pakistan Weighs Expelling French Envoy",NA,NA,-2,"negative",NA
"323","Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count",0,7,2,"positive",FALSE
"324","U.S. Afghan Exit May Fan Border Strife in Central Asia",-1,-2,3,"neutral",FALSE
"325","Racing to Get Out as Desperation and Fear Set In",-2,-3,-2,"negative",TRUE
"326","Chaos at Airport as Taliban Work on Creating State",-1,-3,-2,"negative",TRUE
"327","Problems Postpone Guantánamo Arraignment",NA,-4,-1,"negative",TRUE
"328","Flights Delayed as U.S.  And Taliban Work It Out",-1,-1,-1,"negative",TRUE
"329","In Surprise Move, Chief Guantánamo Prosecutor Is Retiring Before 9/11 Trial",NA,2,NA,"positive",NA
"330","China Is Wary Of U.S. Pullout In Afghanistan",-1,-1,NA,"negative",TRUE
"331","Another Olympics Invitation From China, Like It or Not",NA,2,NA,"positive",NA
"332","China Hails Role of Taliban in ‘Peaceful Reconciliation’ in Afghanistan",2,9,2,"positive",TRUE
"333","Intelligence Report Says  China Poses Top Threat",1,2,0,"positive",FALSE
"334","China’s Nationalists Sneer at U.S. Troubles",-2,-3,-2,"negative",TRUE
"335","Big Week for U.N., With Climate, Covid and Biden’s Credibility Issues in Backdrop",-1,2,NA,"positive",FALSE
"336","Afghan Forces Bomb Clinic as Fight Against Taliban Engulfs Country",-1,-6,-2,"negative",TRUE
"337","Coaxing and Threats Secured Victory",0,4,0,"positive",FALSE
"338"," $2.1 Billion For Security And Afghans  Is Approved",NA,NA,2,"positive",NA
"339","Defying President, Congress Prepares to Increase the Pentagon’s Budget",NA,4,1,"positive",TRUE
"340","Top General Says He’ll Be ‘Outraged’ if Bounties Are True",0,6,1,"positive",FALSE
"341","Congressman  To Deploy With Guard",NA,2,NA,"positive",NA
"342","Traveling the World Without Leaving the Kitchen",NA,1,NA,"positive",NA
"343","For China’s Red Cross, It’s Hard To Put People Before the Party",-1,-4,-1,"negative",TRUE
"344","In a World of Migrant Workers, a World of Risk",-1,-1,-2,"negative",TRUE
"345","Could the Taliban Take Control of Afghanistan?",NA,NA,NA,NA,NA
"346","Pakistan Court  Abolishes Tests  For ‘Virginity’  In Rape Cases",-1,-4,-4,"negative",TRUE
"347","Lengthy War In the Sahel Strains France",-1,-2,-2,"negative",TRUE
"348","Lengthy War In the Sahel Strains France",-1,-2,-2,"negative",TRUE
"349","Pulitzer Prize-winning Photojournalist  From Reuters Is Killed in Afghanistan",1,3,1,"positive",TRUE
"350","Dismantling 20 Years of War in Southern Afghanistan",NA,-2,-2,"negative",TRUE
"351","Suicide Attack At Tutor Center Kills at Least 18 In Afghanistan",-3,-4,-6,"negative",TRUE
"352","Assault on University Students Targets Afghanistan’s Future, Erasing Hopes",-1,-1,2,"neutral",FALSE
"353","Push to Repeal Power for War Divides G.O.P.",NA,-2,-2,"negative",TRUE
"354","Debating Exit, Biden Rejected Generals’ View",-1,-1,-1,"negative",TRUE
"355","Divided Democrats Resume House Battles Over Priorities and Politics",NA,-1,-1,"negative",TRUE
"356","Top 3 U.S. Defense Officials Face House Panel, a Day After Senate Testimony",1,5,2,"positive",TRUE
"357","Defense Secretary Backs Changes to Policies on Sex Assault",-1,1,NA,"neutral",FALSE
"358","A Losing Battle in the Military",-1,-6,-4,"negative",TRUE
"359","Afghan Women Killed In Stampede for Visas  To Travel to Pakistan",-2,NA,-5,"negative",TRUE
"360","Democrats Hit Road to Sell Ambitious Budget",1,-1,2,"positive",FALSE
"361","Democrats Are Investigating End of Ban on Silencer Sales",NA,-1,-2,"negative",TRUE
"362","Democrats Seek Way to Protect Biden’s Agenda",1,2,1,"positive",TRUE
"363","Spending Bill to Be Tied to Debt Ceiling",-1,-2,-2,"negative",TRUE
"364","Afghan Pilots  Dread Absence  Of Contractors",-2,-4,-2,"negative",TRUE
"365","Rushing to Erase Proof Of Working With U.S.",-1,-1,NA,"negative",TRUE
"366","Afghans Describe ‘Terror’ As Hopes of Escaping Fade",-1,-3,-2,"negative",TRUE
"367","U.S. Passed on Taliban Surrender, and 20 Years of War Followed",-1,-5,-2,"negative",TRUE
"368","Does a Men-Only Draft Violate the Constitution?",-1,1,-2,"negative",FALSE
"369","Donald H. Rumsfeld, Ex-Defense Secretary, Dies at 88",-1,0,NA,"negative",FALSE
"370","Amid Debacle in Kabul, Rumsfeld Is Laid to Rest",-1,-2,NA,"negative",TRUE
"371","As Attacks Continue in Afghanistan, World Donors Pledge Less Aid",-1,7,-1,"positive",FALSE
"372","Global Needs and Past Misuse of Donations Threaten Haiti’s Recovery",-1,-2,-2,"negative",TRUE
"373","Dozens Fall Ill At the Palace Of the Leader, Officials Say",-1,-5,-2,"negative",TRUE
"374","Gino Strada, 73, Surgeon Who Brought Medicine  To the Front Lines of War",NA,-3,-2,"negative",TRUE
"375","Institutional Weakness Compounds Predicament Of Haiti’s Power Struggle",-3,-7,-4,"negative",TRUE
"376","Hunter Given  Prison Term  Of 11 Months In Fraud Case",-2,-8,-6,"negative",TRUE
"377","E.U. Offers Members Cash in Plan for Migrants",NA,3,NA,"positive",NA
"378","E.U. Offering Migrants Cash to Leave Greece",NA,2,-1,"positive",FALSE
"379","Eager to Shift Narrative,  Biden Team Puts Airlift In Historical Perspective",1,6,2,"positive",TRUE
"380","As U.S. Speeds Its Withdrawal,  Taliban Hit Elite Afghan Forces",1,2,-3,"neutral",FALSE
"381","G.O.P. Pins House Hopes on Profile That’s Lifted Democrats",NA,NA,2,"positive",NA
"382","G.O.P. Pins House Hopes on Profile That’s Lifted Democrats",NA,NA,2,"positive",NA
"383","Ex-Spies Recruited in Push To Attack Liberal Groups",-1,-3,-1,"negative",TRUE
"384","Trump Ally Denies Role In $80 Million Scheme To Back Libyan Leader",0,4,-2,"positive",FALSE
"385","Europe Lauds Biden, but Trust in U.S. Is Shaken",1,1,1,"positive",TRUE
"386","European Rights Court Backs Germany Over Killings of 90 Afghan Civilians",NA,-1,NA,"negative",NA
"387","Evacuation of Afghan Allies Is Set to Begin As U.S. Withdrawal Enters Its Final Phases",NA,-1,-3,"negative",TRUE
"388","Frenzied Exit From Kabul Nears End as the President Cites a New Terror Threat",-3,-6,-5,"negative",TRUE
"389","For Afghan Minorities, Getting an Education Means Risking Death",-1,-3,-2,"negative",TRUE
"390","Trump’s Pen Halts Green Cards, but Leaves Loopholes",-1,3,NA,"positive",FALSE
"391","Ex-F.B.I. Agent Who Vanished in Iran Is Probably Dead, U.S. Says",-1,-2,-3,"negative",TRUE
"392","Ex-Analyst Who Leaked Details on Drone Warfare Is Sentenced",NA,-2,-5,"negative",TRUE
"393","F.B.I. Finds Links Between Florida Military Base Attack and Al Qaeda",-1,-3,-1,"negative",TRUE
"394","‘Nightmare’ for Parents of Marine Slain Under Possible Russian Bounty",-1,3,NA,"positive",FALSE
"395","Father, Soldier, Son",NA,0,NA,"neutral",NA
"396","Refugees Flock to Afghan Capital, Seeking Reprieve From Taliban Assault",-1,-3,NA,"negative",TRUE
"397","Fearing Fall of Kabul, U.S. Officials Implore  Afghans to Fight Back",-1,-7,-3,"negative",TRUE
"398","U.S. Embassy Warns Americans to Avoid Kabul Airport Amid Threats",-1,-1,-5,"negative",TRUE
"399","New Book Details Fears Trump Would Start War",0,0,-2,"negative",FALSE
"400","Feeling Spurned by Trump,  U.N. Finds Encouragement  Biden Will Restore Its Place",2,2,4,"positive",TRUE
"401","Far Beyond 2001, but Fearing Its Return",NA,-2,-2,"negative",TRUE
"402","Arson Fire Destroys Most of Europe’s Largest Refugee Camp",NA,-5,-5,"negative",TRUE
"403","Little Optimism Even as Taliban Reopen Airport   ",1,6,2,"positive",TRUE
"404","Protests Emerge as Taliban Strive to Cement Power",-1,3,-2,"neutral",FALSE
"405","U.S. Drone Strike Error Tarnishes Victims Twice",-3,-5,-6,"negative",TRUE
"406","Barrier Falls As a Woman Becomes A Green Beret",-1,1,-2,"negative",FALSE
"407","Foes in Afghan War See Islamic State as Common Threat",-1,-5,-4,"negative",TRUE
"408","‘My Future Is Dark’: Fear Rises  In Women After Years of Gains",-1,-4,0,"negative",FALSE
"409","U.S. Aid Cut May Shove Afghanistan Closer to the Brink",NA,-1,-1,"negative",TRUE
"410","Post-9/11 Era Ends Painfully, For America and Afghanistan",-1,-2,NA,"negative",TRUE
"411","Biden’s Early Steps on the World Stage Are Cautious Ones",NA,2,-1,"positive",FALSE
"412","For Biden, Images He Wanted to Avoid",NA,-2,-1,"negative",TRUE
"413","Naming the Dead,  Even as the Audience  Slowly Dwindles",-2,1,-3,"negative",FALSE
"414"," Surprise Ruling: Latest Reversal In Flynn’s Life",NA,0,NA,"neutral",NA
"415","Familiar Fears as Immigrants See ‘Blackest Day for Democracy’",-1,3,NA,"positive",FALSE
"416","For India’s Military, a Juggling Act on Two Fronts With Hostile Neighbors",-1,-5,-2,"negative",TRUE
"417","For Netanyahu and Israel, Political Presents From Trump Kept Coming",1,2,NA,"positive",TRUE
"418","‘The Blob’ Has a Media Moment After the U.S. Troop Withdrawal",NA,-3,-3,"negative",TRUE
"419","Bonded by Combat, Veterans Are Driven Apart by Political Rancor",-1,-3,-1,"negative",TRUE
"420","For Afghan Women, Fears That Hard-Won Progress Will Vanish",0,4,4,"positive",FALSE
"421","Former Commanders Denounce Trump’s Use of Military Forces Against Americans",-1,-4,-2,"negative",TRUE
"422","For Democrats, a Jigsaw Puzzle and a Ticking Clock",NA,1,NA,"positive",NA
"423","Jailed in Cuba, Deported to Albania, Hunted by China",NA,NA,-2,"negative",NA
"424","French Forces Kill a Top Leader of Al Qaeda in Africa",0,2,-1,"positive",FALSE
"425","Flowing Across Border  From a Virus Hot Spot",0,-2,NA,"negative",FALSE
"426","Pelosi Creating Bipartisan Panel to Oversee Trump’s Response to Crisis",-1,-1,-3,"negative",TRUE
"427","In Afghan Exit, Qatar Emerges As Go-Between",NA,NA,NA,NA,NA
"428","After Car Bomb and Kidnapping, Family Starts a New Life in Texas",-1,-3,-1,"negative",TRUE
"429","Maternity Ward and Cemetery Assaults Kill Dozens in Afghanistan",-1,-6,-3,"negative",TRUE
"430","For Afghans in Albania, a Soft Place to Land, but Dread Persists",0,0,-2,"negative",FALSE
"431","U.S.-Taliban Deal May Give Pakistan a Weak, Pliable Neighbor",-1,8,-2,"positive",FALSE
"432","Unearthing Women’s Stories in the Face of a Grim Future",-1,-4,NA,"negative",TRUE
"433","‘Unfinished Business’ In Trump Foreign Policy Gets Skimmed Over",0,0,NA,"neutral",FALSE
"434","Withdrawal  Will Erode Intelligence, General Says",0,2,-3,"negative",FALSE
"435","George Shultz, 100, Who Helped End The Cold War, Dies",-1,-3,-2,"negative",TRUE
"436","German Neo-Nazi Is Sentenced  To Life for Assassinating Backer  Of Merkel’s Policy on Refugees",NA,2,-2,"neutral",FALSE
"437","Germany Takes Refugees From Greece After Fire",NA,-1,-2,"negative",TRUE
"438","Germany’s Far Right Has Little Support in Election, but It’s ‘Here to Stay’",1,NA,2,"positive",TRUE
"439","Ghani Takes the Oath of Afghan President. His Chief Rival Does, Too.",-1,4,NA,"positive",FALSE
"440","A Giant Refugee Ruffles Some Feathers",NA,-2,NA,"negative",NA
"441","Gil Loescher, 75, a Survivor  Of a Suicide Bombing in Iraq Who Fought for the Refugees",0,-4,0,"negative",FALSE
"442","Trump to Address Cadets In Uneasy Commencement",0,-2,-2,"negative",FALSE
"443","Green Beret Is Charged In 3 Killings",NA,3,-3,"neutral",FALSE
"444","Key Trump Ally  Pursued Talks  To Shift Power  In Venezuela",1,3,NA,"positive",TRUE
"445","Grilled by G.O.P., Blinken Defends Biden’s Afghanistan Exit",NA,NA,NA,NA,NA
"446","Chinese News Service Mocks India’s Virus Plight",-3,-4,-2,"negative",TRUE
"447","In Reversal, Military Lawyers Ask to Strike Out Material Obtained From Torture",-2,-9,-5,"negative",TRUE
"448","Snipers Kill 32 Civilians at Kabul Event Attended by Opposition Leader",-2,-3,-3,"negative",TRUE
"449","Gunmen Kill at Least 19 at University in the Afghan Capital",-1,-1,-3,"negative",TRUE
"450","1 Year Later,  Royal Split Turns Official For Sussexes",-1,0,NA,"negative",FALSE
"451","Germany Feels Left Out As Trump Shifts Alliance",1,2,NA,"positive",TRUE
"452","Offering a Résumé and a Robot Built Out of Trash",-1,-2,NA,"negative",TRUE
"453","Worshipful Fan of Trump  Was Faithful Until Death  ",1,0,4,"positive",FALSE
"454","Hard Choices Over Afghan Killer Cleared the Way for Peace Talks",0,4,2,"positive",FALSE
"455","He Saved 31 People at Sea. Then He Got a 142-Year Prison Sentence.",-1,-7,-2,"negative",TRUE
"456","Recent Friction for Pompeo And New Pentagon Chief",-1,-1,NA,"negative",TRUE
"457","Marine Barely Older Than War Is Killed Bringing It to an End",-1,-1,-5,"negative",TRUE
"458","Bombing Survivor, Afghan Teen Persists in Dream of Education",1,NA,3,"positive",TRUE
"459","Fund-Raisers, Music Stars And Advisers",NA,1,NA,"positive",NA
"460","House Backs Funding for Israel’s Iron Dome",NA,2,NA,"positive",NA
"461","U.S. Pushes Bill to Hasten  Visa Process  For Afghans",NA,NA,NA,NA,NA
"462","House Passes Bill Allowing New Names for Military Bases",NA,-1,NA,"negative",NA
"463","House Passage of Spending and Debt Measure Cues Senate Face-Off",-1,0,-2,"negative",FALSE
"464","House Votes to Claw Back Power to Use Force on Iran",NA,-6,NA,"negative",NA
"465","1st Black Sergeant-at-Arms In House History Is Named",NA,NA,NA,NA,NA
"466","House Votes to Override Trump’s Veto of Military Bill",NA,-3,NA,"negative",NA
"467","How 2 Afghan Athletes Defied Odds to Make It Out of Kabul and to Japan",NA,NA,NA,NA,NA
"468","Exposé Reignites Feud;  At Least 5 Afghans Die",-1,-5,-3,"negative",TRUE
"469","Afghan Political Crisis Derails Thousands in Payments to War Victims",-1,-3,-10,"negative",TRUE
"470","With U.S. Exit, Afghan Forces Face a Reckoning",NA,NA,NA,NA,NA
"471","Thousands Are Out, But Thousands More Are Waiting for Rescue",NA,5,2,"positive",TRUE
"472","Suspicions About Russia’s Outreach to the Taliban Go Back Years",-1,NA,2,"positive",FALSE
"473","U.S. Counters Space Threat From China",-1,-3,-2,"negative",TRUE
"474","How Teenagers Around the World Are Taught About 9/11",NA,1,NA,"positive",NA
"475","A Splintered G.O.P. Struggles To Find Unity on Foreign Policy",0,2,-2,"neutral",FALSE
"476","Pandemic Puts College Lifeline Beyond Reach",NA,-3,1,"negative",FALSE
"477","After 18 Years of War, Taliban Sense Victory Over a Superpower",1,3,-2,"positive",FALSE
"478","U.S. Surveys Options to Strike From Afar After Exit From Afghanistan",-1,-2,-1,"negative",TRUE
"479","A Scramble to Slow the Spread of Infection",-3,-2,NA,"negative",TRUE
"480","History of Rebel Rule  Offers Clues Into Ways  The Taliban May Govern",NA,-1,NA,"negative",NA
"481","Left Stranded, Migrants Shiver in Hostile Bosnia",-2,-8,-2,"negative",TRUE
"482","Afghan Forces on the Run, Hiding and Hunted",NA,-1,-1,"negative",TRUE
"483","International Court Allows Afghanistan War Crimes Case to Proceed, Angering U.S.",NA,-3,-2,"negative",TRUE
"484","International Court Is Opening War Crimes Inquiry on Israel and Militants",NA,-1,-2,"negative",TRUE
"485","Ida Nudel, ‘Angel’ to Soviet Jews, Dies at 90",0,5,NA,"positive",FALSE
"486","Chechen Man Who Shed Light on Russian Contract Killings Is Murdered",NA,-1,NA,"negative",NA
"487","With Diplomats Gone, U.S. Embassy in Afghanistan Will Stay Shut",NA,NA,NA,NA,NA
"488","Village of Widows Scrapes By in Shadow of Afghan Opium Trade",NA,-4,NA,"negative",NA
"489","U.S. Backs Off Naval Strategy Aimed at Iran",NA,NA,NA,NA,NA
"490","Facts in Afghan Attacks Are Hazy, but It’s Clear Deaths Are Piling Up ",-2,NA,-1,"negative",TRUE
"491","In the Withdrawal From Afghanistan, a Biden Doctrine Surfaces",NA,1,-3,"negative",FALSE
"492","‘Everything Has a Value’: Afghanistan’s Kidney Trade Preys on the Poor",-1,1,-2,"negative",FALSE
"493","A Solemn Pullout In the Last Hours Of a Lost Fight",-2,-5,-5,"negative",TRUE
"494","When White Hightops Exude Fear, Not Fashion",-1,-3,-2,"negative",TRUE
"495","In Single Day, Taliban Push Transforms  Life in Kabul",NA,NA,NA,NA,NA
"496","ISIS and African Militants Join In a Marriage of Convenience",1,6,1,"positive",TRUE
"497","Friends and Foes Alike Hear Echoes of Trump In Biden Foreign Policy",1,1,NA,"positive",TRUE
"498","Biden Defends  Afghan Pullout  In Blunt Tones",-1,NA,NA,"negative",NA
"499","In a Former Taliban Stronghold, Defiant Women Hit the Gym",-1,-4,-1,"negative",TRUE
"500","In Harm’s Way",NA,NA,NA,NA,NA
"501","Biden Is Still Mourning a Son, But Some Can’t Bear His Grief",-1,-6,-4,"negative",TRUE
"502","In Italy, Some Worry Pandemic Is a Get-Out-of-Jail Card for Mobsters",-1,-8,-3,"negative",TRUE
"503","In the Shabby Chic Towers in Kabul’s Heart, History Lives",0,-2,2,"neutral",FALSE
"504","How Packs of Dogs Command Afghan Streets and Rule the Night",NA,0,NA,"neutral",NA
"505","Official Fights To Vaccinate In Louisiana",NA,1,NA,"positive",NA
"506","In One Afghan District, Peace From 8 A.M. to 5 P.M.",1,4,2,"positive",TRUE
"507","Wrestling for Control of Afghanistan’s Holdout Province",NA,-1,NA,"negative",NA
"508","In Proud Corners of Afghanistan, New Calls for Autonomy",1,5,2,"positive",TRUE
"509","In Reversal, Pentagon Orders Warship to Remain in Middle East",NA,-2,NA,"negative",NA
"510","In Shanksville, a Field of Flags for All the Fallen",-1,NA,-2,"negative",TRUE
"511","In Southeast Asia, Harris Chides China While Promoting U.S. Credibility",NA,2,1,"positive",TRUE
"512","U.S. Defense Pact With Australia Enrages France",NA,1,-2,"negative",FALSE
"513","Fleeing Taliban Areas, All for an Education",-1,NA,NA,"negative",NA
"514","Scene in Washington Recalls Images of Post-Soviet Uprisings",NA,NA,NA,NA,NA
"515","Afghan Collapse Blows Back on Biden",-1,-4,-2,"negative",TRUE
"516","At Forum Dedicated to Peace, Speeches That Exalted Ideals And Stoked Old Resentments",3,7,4,"positive",TRUE
"517","Officials Scour Evidence for Police or Military Ties in Capitol Attack",-1,-3,-1,"negative",TRUE
"518","India Grants Afghan Hindus and Sikhs  Priority Visas to Escape Barrage of War",NA,-2,-2,"negative",TRUE
"519","Indonesian Army to End So-Called Virginity Tests",NA,2,NA,"positive",NA
"520","Joy, Relief and Bunco: Inside a Nursing Home After the Vaccine",2,4,3,"positive",TRUE
"521","Escaping Afghanistan, Refugees Discover Chaos Is Far From Over  ",-1,-4,-3,"negative",TRUE
"522","Outrage and Anxiety As the Capitol Comes  Under Armed Guard",-2,-7,-5,"negative",TRUE
"523","Shadowy Force Lures Afghans To Fight, or Die",-2,-9,-4,"negative",TRUE
"524","White House Lawyer Delivers For Ex-Patrons in Gun Industry",NA,-7,-1,"negative",TRUE
"525","‘Spin Doctor’ Obliged to Carry Out Boss’s Bidding Has Lost Credibility",-1,2,-3,"negative",FALSE
"526","Intelligence Agencies Did Not Predict Swift Collapse, Officials Say",1,0,0,"positive",FALSE
"527","Contradicting Biden, Reports Warned of Rapid Collapse",-1,-2,-4,"negative",TRUE
"528","Myanmar Envoy Will Forgo Remarks at U.N. Assembly",NA,2,NA,"positive",NA
"529","Iran Executes A Dissident It Says Fueled Unrest Online",-2,-5,NA,"negative",TRUE
"530","Iranian Diplomat Says Tehran’s Military Leaders Thwart Diplomacy",-1,2,-2,"negative",FALSE
"531","Detainee’s Reported Paralysis Prompts Guantánamo Judge To Order Emergency Report",-1,-5,-2,"negative",TRUE
"532","ISIS Branch Poses Immediate Terror Threat to Mission at Kabul Airport",-2,-4,-5,"negative",TRUE
"533","U.S. Sounds Alarm On the ‘Acute’ Threat ISIS Poses in Kabul",-2,-4,-4,"negative",TRUE
"534","Long-Awaited Mosque Briefly Opens as Restrictions Return",NA,-1,-1,"negative",TRUE
"535","In This German Campaign,  Winner So Far Is Boredom",0,2,4,"positive",FALSE
"536","U.S. Embassy Operations Proceed in Afghan Capital",NA,NA,NA,NA,NA
"537","Javier Pérez de Cuéllar, U.N. Chief  Behind Vital Peace Pacts, Dies at 100",0,5,2,"positive",FALSE
"538","First Lady Chases the President’s Most Elusive Campaign Promise: Unity",2,5,1,"positive",TRUE
"539","Joanna Harcourt-Smith Dies at 74;  Joined Leary in LSD-Fueled Affair",-1,2,NA,"positive",FALSE
"540","A Frayed Bond Between Biden And the Police",NA,-1,NA,"negative",NA
"541","Biden Journey On China Has A Hard Turn",-1,2,-1,"neutral",FALSE
"542","Biden’s Lessons  From Odd Days  Of Facing Palin",-1,NA,-2,"negative",TRUE
"543","Trump’s Ex-Chief of Staff, at Center of Report on President’s Remarks, Keeps Silent",1,2,NA,"positive",TRUE
"544","Johnson, Inviting Battle, Prepares to Break Vow on Not Raising Taxes in Britain",-1,8,0,"positive",FALSE
"545","Judge Orders Panel Review  Of Detainee Abused by U.S.",-1,-3,-3,"negative",TRUE
"546","Assange Bid to Be Released  On Bail Is Denied by Judge  Who Blocked His Extradition",-1,-2,-3,"negative",TRUE
"547","Taliban Capture Kabul, Stunning U.S. as a 20-Year Effort Unravels in Days",1,0,4,"positive",FALSE
"548","Harris Promises U.S. Will Work With Allies to Help Afghan Women and Children",1,NA,1,"positive",TRUE
"549","An Afghan Provincial Capital Is in Danger of Falling to the Taliban",-2,-5,-3,"negative",TRUE
"550","Protesters in Kyrgyzstan Seize Parliament and Free Prisoners",1,-1,-3,"negative",FALSE
"551","Promotion Delayed for Colonel Involved in Niger Ambush",-2,0,-1,"negative",FALSE
"552","American Lawmakers Rush to Provide Visas for Afghans Who Assisted U.S. Forces",NA,2,NA,"positive",NA
"553","Hectic Departure Draws Criticism of President From Both Sides of Aisle",-2,-3,-2,"negative",TRUE
"554","Power of the Press, in the Balance",NA,1,NA,"positive",NA
"555","Two Months In, Liberals Grow Impatient With Biden’s Foreign Policy Actions",-1,4,-2,"positive",FALSE
"556","Libya’s Top Factions Agree to Cease-Fire",1,3,1,"positive",TRUE
"557","Two Weeks With Afghan Prisoners",NA,NA,-2,"negative",NA
"558","White Supremacists Organized Early Online",NA,1,NA,"positive",NA
"559","Inspector General Whom Trump Pulled From Overseeing Aid Will Leave Office",1,2,-1,"positive",FALSE
"560","Macron Takes a Big Risk By Battling With the U.S.",-1,-1,-2,"negative",TRUE
"561","Mandela. Dalai Lama. Gorbachev. Now Trump?",1,1,NA,"positive",TRUE
"562","McCarthy Endorses Bid to Replace Cheney",1,NA,2,"positive",TRUE
"563","Trump Is ‘Abetting Putin’s Efforts,’ McMaster Says",1,1,NA,"positive",TRUE
"564","Measles Cases Halt Afghan Refugee Flights Into the U.S.",NA,-5,NA,"negative",NA
"565","Newly Elected Republicans Embody Their Party’s Split In the Aftermath of a Riot",-1,-9,-2,"negative",TRUE
"566","Sea of Angelas Gives Thanks  To Chancellor",NA,2,NA,"positive",NA
"567","A Name Often Floated, but Not Chosen, In Discussions on Leading the Pentagon",1,2,NA,"positive",TRUE
"568","At Least 2 Die as ISIS Fighters Wage Gun Battle at Afghan Prison, Freeing Dozens",-2,-12,-7,"negative",TRUE
"569","Military Analysis Raises Questions About Deadly Drone Strike in Kabul",-2,-9,-1,"negative",TRUE
"570","Military Advised Biden to Extend Afghan Presence",NA,2,1,"positive",TRUE
"571","U.S. Military Is Scrambling  To Exit Kabul Within 7 Days",-1,-2,NA,"negative",TRUE
"572","America’s Top General Takes a Walk With Trump, Right Into the Fire",2,3,0,"positive",FALSE
"573","Miscue After Miscue, Exit Plan Unravels",NA,1,NA,"positive",NA
"574","U.S. Withdrawal From Afghanistan Remains on Track",NA,0,-3,"negative",FALSE
"575","Austin Driver Is Claiming Self-Defense In Shooting",NA,-3,NA,"negative",NA
"576","Biden Nominated by Democrats Far and Wide",NA,NA,NA,NA,NA
"577","Muslim. American.",NA,NA,NA,NA,NA
"578","Bloodshed Reveals a World  That’s Changed, and Hasn’t",-1,-4,NA,"negative",TRUE
"579","Head of NATO: U.S. Allies Were Consulted on Pullout",NA,NA,NA,NA,NA
"580","NATO Pledges an ‘Orderly, Coordinated and Deliberate’ Exit by Its Troops",1,2,NA,"positive",TRUE
"581","Warship Off Africa Is Part of Push Against Venezuela",NA,NA,NA,NA,NA
"582","Nearly 80 Are Killed as Flash Floods Ravage a City in Afghanistan",-2,NA,-3,"negative",TRUE
"583","Administration Memo Focuses on Gaps, Not Core, of Bounty Intelligence",1,7,NA,"positive",TRUE
"584","Israeli Leader Supports Hard Line on Iranians",0,2,1,"positive",FALSE
"585","‘Spine-Chilling’ New Rules  For Media in Afghanistan",NA,-1,-1,"negative",TRUE
"586","Officials Screening Fliers To Harden Capital’s Shield",-1,NA,NA,"negative",NA
"587","‘Your Actions Were Inhuman’: Christchurch Killer Gets Record Sentence",-2,-9,-2,"negative",TRUE
"588","Nikolai Antoshkin, 78, General  Who Led Firefight at Chernobyl",1,NA,NA,"positive",NA
"589","Some Peace Prize Picks  Can Be Second-Guessed",2,4,2,"positive",TRUE
"590","Reactor Active In North Korea, Agency Warns",NA,NA,-1,"negative",NA
