"","main_text","main_bing","main_nrc","main_afinn","print_text","print_bing","print_nrc","print_afinn"
"175","Armed Attackers Kidnap and Kill 11 Miners in Pakistan",-1,-8,-3,"Armed Attackers Kidnap and Kill 11 Miners in Pakistan",-1,-8,-3
"176","Army Withdraws Nomination for Officer Involved in Deadly Niger Ambush",-2,-4,NA,"Promotion Pulled for Officer Over Niger Ambush",-1,1,NA
"177","As Afghan Cities Fall to Taliban, Brutal New Chapter Unfolds",-2,-5,NA,"3 Afghan Cities  Fall to Taliban",-1,-2,NA
"178","As Afghan Forces Crumble, an Air of Unreality Grips the Capital",-1,NA,NA,"In Kabul, High Tension and an Air of Unreality",-1,-1,-1
"179","As Afghan Refugee Crisis Unfolds, Survivors Recall ‘Miracle’ Evacuation",0,2,1,"As Afghan Refugee Crisis Unfolds, Koreans Recall ‘Miracle’ Evacuation",0,2,1
"180","As Afghanistan Collapses, a Lament for ‘Repeating the Same Mistakes’",-2,-4,-4,"20 Years Ago, a Lone U.S. Representative Warned Against ‘Perpetual War’",-2,-2,-4
"181","As Biden and Xi Begin a Careful Dance, a New American Policy Takes Shape",NA,6,2,"A Pivotal Reset On China Policy By Biden’s Team",NA,2,NA
"182","As Biden Faces a Political Crisis, His Party Looks On in Alarm",-2,-2,-5,"As Biden Faces Political Crisis, the Democratic Party Looks On in Alarm",-2,-2,-5
"183","As Biden Meeting Nears, Erdogan Softens His Stance",NA,NA,NA,"Facing a More Skeptical U.S., Erdogan Tempers His Defiant Tone",-2,-3,-3
"184","As Covid-19 Closes Schools, the World’s Children Go to Work",NA,NA,NA,"Virus Closed Schools, and World’s Poorest Children Went to Work",-2,-1,-2
"185","As Fears Grip Afghanistan, Hundreds of Thousands Flee",-2,-2,NA,"As Taliban Stoke Fear, Multitudes Flee Afghanistan",-2,-5,-2
"186","As G.O.P. Digs In on Debt Ceiling, Democrats Try Shaming McConnell",-1,-2,-2,"Democrats’ Strategy on Debt Ceiling: Discredit McConnell",-2,-3,-2
"187","As Military Addresses Diversity, Republicans See Culture War Target",NA,0,-2,"Diversity Push Inside Military Spurs Backlash",NA,-1,NA
"188","As Need in Afghanistan Grows Dire, Aid Groups Plead for Help",-1,-2,-3,"As a Crisis in Afghanistan  Is Growing Dire, Aid Groups  Are Pleading for Assistance",-2,-2,-5
"189","As Neo-Nazis Seed Military Ranks, Germany Confronts ‘an Enemy Within’",-1,-5,-2,"German Force  Fears Inroads  By Neo-Nazis",-1,-3,NA
"190","As Others Condemn Putin Critic’s Poisoning, Trump Just Wants to ‘Get Along’",0,-3,-2,"As Others Condemn Dissident’s Poisoning, Trump Just Wants to ‘Get Along’",0,-3,-2
"191","As Pandemic Grows, U.S. Warns Americans Not to Travel Abroad",NA,-3,-2,"U.S. Strengthens Its Warning on Travel",-1,-1,-1
"192","As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul",-2,0,-1,"Pompeo Sees Negotiators Just After Kabul Attack",-1,-3,-1
"193","As Saudi Official Hid Abroad, His Family Became a Target at Home",NA,1,-1,"Family of Saudi Ex-Officer Who Is Hiding in Canada Became a Target at Home",NA,1,-1
"194","As Taliban Advance, Biden Officials Cling to Hope for Afghan Peace",1,12,4,"As Taliban Advance, U.S. Clings to Hope for Peace",1,12,4
"195","As Taliban Capture Cities, U.S. Says Afghan Forces Must Fend for Themselves",NA,-1,NA,"Signal as U.S. Mission Ends: You’re on Your Own",NA,NA,NA
"196","As Taliban Crush Dissent, New Leaders Face Cascading Challenges",-2,NA,-1,"As Taliban Crush Dissent, New Leaders Face Cascading Challenges",-2,NA,-1
"197","As the Taliban Advance in Afghanistan, Pressure on Pakistan Grows",NA,2,-1,"Pressure on Pakistan as Taliban Advance",NA,2,-1
"198","As the Taliban Tighten Their Grip, Fears of Retribution Grow",-1,-1,NA,"Reports of Detentions and Executions Despite Taliban Vow of Amnesty",NA,6,NA
"199","As the U.S. Pulls Out of Afghanistan, Kabul’s Airport Is a Final Stand",NA,1,NA,"Last Stand in Exit Plan Is Kabul Airport Security",NA,2,NA
"200","As U.N. Turns 75, the Celebration Is Muted by Calamity and Conflict",-1,0,-2,"The United Nations Turns 75 Amid Calamity and Conflict",-2,-3,-1
"201","As U.S. Leaves Afghanistan, History Suggests It May Struggle to Stay Out",-1,-4,-2,"As U.S. Exits Afghanistan, History Implies It May Have to Return",NA,NA,NA
"202","As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission",-1,-3,-2,"U.S. Troops’ Afghan Exit Ties Embassy’s Fate to a Fragile Peace Process",0,1,2
"203","As U.S. Troops Searched Afghans, a Bomber in the Crowd Moved In",NA,-2,NA,"In Frantic Crowd, a Suicide Bomber Hid in Plain Sight",-2,-7,-4
"204","As U.S. Withdraws, Afghan Interpreters Fear Being Left Behind",-1,-3,-2,"U.S. Visas Can Be a Life-or-Death Matter for Afghan Interpreters",-1,-3,-1
"205","As Virus Toll Preoccupies U.S., Rivals Test Limits of American Power",-3,-1,-1,"As Toll Preoccupies U.S., Rivals Test the Limits of American Power",-2,NA,-1
"206","As Wars Wind Down, Congress Revisits Presidential Powers",NA,0,NA,"Congress Revisits President’s Powers To Authorize Use of Military Force",NA,-3,NA
"207","Asylum Seeker Who Lost His Son on Trek to Greece Is Charged in His Death",-2,-7,-8,"Asylum Seeker Faces Charges in Son’s Death at Sea",-1,-4,-4
"208","At Afghan Peace Talks, Hoping to End Their Fathers’ War",1,2,2,"It Was Their Fathers’ War. They Aim to End It.",NA,-2,-2
"209","At Afghan Universities, Increasing Fear That Women Will Never Be Allowed Back",-1,-3,-2,"New Taliban Chancellor Bars Women From Kabul University",NA,3,NA
"210","At Center of Taliban Deal, a U.S. Envoy Who Made It Personal",NA,8,NA,"At the Center of the Taliban Deal, a U.S. Envoy Who Made It Personal",NA,8,NA
"211","At Least 250,000 Afghans Who Worked With U.S. Haven’t Been Evacuated, Estimates Say",NA,NA,NA,"U.S. Rescue of All Afghan Allies by Deadline Appears Increasingly Unlikely",NA,5,2
"212","At Least 60 Migrants Killed in Turkish Boat Disaster",-2,-4,-5,"Boat Sinks In Turkey; At Least 60 Are Dead",-1,NA,-3
"213","At Least 80 Killed as Flash Floods Destroy Village in Afghanistan",-2,NA,-6,"Flash Flood  Kills Scores  In Area Run  By Taliban",-1,-1,-3
"214","At Least 9 Dead in Afghan Helicopter Crash, After Clashes With Local Militia",-2,-6,-5,"At Least 9 Die in Crash of Afghan Military Copter After Clashes With Local Militia",-2,-10,-5
"215","At Naval Academy Graduation, Harris Focuses on Strengthening a ‘Fragile’ World",-1,5,2,"Harris Speaks of ‘Fragile’ World at Naval Academy Commencement",-1,-2,NA
"216","At Pentagon, Fears Grow That Trump Will Pull Military Into Election Unrest",-1,3,NA,"Pentagon Leaders Worry Trump Will Drag Military Into Election",-1,-2,-4
"217","At Pro-Taliban Protest, a Symbol of America’s Lost Influence: Faces Obscured by Veils",-3,-2,-5,"At Pro-Taliban Rally, a Sign of America’s Failure: Droves of Veiled Faces",-1,-4,-2
"218","At U.N., Biden Calls for Diplomacy, Not Conflict, but Some Are Skeptical",-2,-1,-4,"Biden Reasserts Role of America In World Affairs",NA,NA,NA
"219","Attack in Afghanistan Kills 10 From Charity That Clears Land Mines",-1,0,-3,"Afghan Attack Kills 10  From Land Mine Charity",-2,0,-4
"220","Attacked and Vulnerable, Some Afghans Are Forming Their Own Armies",-1,1,-3,"As Taliban Attack, Civilians Are Taking Up Arms",-1,-3,-1
"221","Australia Condemns Lurid Tweet by Chinese Official as ‘Disgusting Slur’",-4,-9,-5,"Australia Condemns Chinese Official’s ‘Disgusting Slur’ of Soldiers",-3,-8,-5
"222","Australian Military Moves to Dismiss Soldiers After Killings in Afghanistan",NA,-1,NA,"Australian Military to Dismiss Soldiers After Report on Killings And Cover-Up in Afghanistan",NA,0,NA
"223","Back to Militias, the Chaotic Afghan Way of War",-1,-4,-4,"A Country Returns to Militias, and an Old, Chaotic Path",-1,-2,-2
"224","Barbara Lee’s Long Quest to Curb Presidential War Powers Faces a New Test",NA,0,-2,"Quest to Curb War Powers Of President Faces New Test",NA,2,-2
"225","Basking in Vaccine Success, E.U. Promises to Donate More Covid Shots",2,4,3,"E.U. Hails Covid Success but Warns of ‘Pandemic of the Unvaccinated’",1,0,0
"226","Before Himalayan Flood, India Ignored Warnings of Development Risks",-1,-1,-5,"Before Disaster, India Ignored Warnings of Dams’ Risks",-2,-4,-7
"227","Before the Capitol Riot, Calls for Cash and Talk of Revolution",NA,0,-2,"Before Capitol Riot, Thousands Made Small Donations Online",NA,-3,-2
"228","Behind the Haiti Assassination, Colombia’s Growing Mercenary Industry",NA,-6,-2,"Haiti Assassination Spotlights Colombia’s Growing Mercenary Industry",NA,-6,-2
"229","Belarus Leader Lashes Out at the West, a Year After Crushing Protests",-2,-2,-3,"One Year After He Crushed Protests, Belarus Leader Lashes Out at West",-2,-3,-4
"230","Betraying Frustration with China, E.U. Leaders Press for Progress on Trade Talks",-1,2,-3,"E.U. Leaders Press China on Trade Talks, With Scant Results",-1,1,NA
"231","Biden Administration Clears 3 Guantánamo Detainees for Release",1,NA,1,"U.S. Approves Release for 3 At Guantánamo",NA,NA,2
"232","Biden Administration Shows Little Appetite for Haiti’s Troop Request",NA,NA,NA,"U.S. Is Reluctant to Send Soldiers to Haiti Conflict",-2,-6,-2
"233","Biden Administration to Impose Tough Sanctions on Russia",0,-2,-1,"U.S. to Place New Sanctions",NA,NA,NA
"234","Biden Administration Transfers Its First Detainee From Guantánamo Bay",NA,-3,NA,"Biden Administration Sends Guantánamo Detainee to Morocco",NA,-3,NA
"235","Biden Affirms Support Against ‘Russian Aggression’ in Meeting With Ukraine’s Leader",0,-1,0,"Ukraine Leader  Finally Reaches  The Oval Office",NA,6,1
"236","Biden and Bush Urge Unity as Nation Remembers Sept. 11",1,3,NA,"Bush and Biden Join in Seeking Unity Amid Grief",0,1,-1
"237","Biden and Putin Agree to Extend Nuclear Treaty",NA,2,2,"In First Call, Biden and Putin Agree to Extend Nuclear Treaty",NA,2,2
"238","Biden and Putin Express Desire for Better Relations at Summit Shaped by Disputes",NA,NA,-1,"Presidents Joust Even as They Seek to Ease Relations",1,2,2
"239","Biden Assails Republicans Over Voting Rights and Defends Record on Border",NA,NA,NA,"Biden Laces Into G.O.P.  On ‘Un-American’ Bids  To Limit Voting Rights",-1,NA,NA
"240","Biden Cabinet Leans Centrist, Leaving Some Liberals Frustrated",-1,0,-2,"On Philosophy, Biden Cabinet Leans Centrist",NA,2,NA
"241","Biden Campaigned as the Anti-Trump. But a Clean Break Is Never Easy.",2,5,2,"Biden Strives to Be the Anti-Trump, but He Is Finding It’s Not So Easy",2,1,0
"242","Biden Condemns Border Patrol Treatment of Haitian Migrants as Expulsions Continue",-1,4,-2,"Amid Inquiry, President Condemns Border Agents Who Mistreated Haitians",-1,4,-2
"243","Biden Criticizes Trump Over Intelligence on Russian Bounties on U.S. Troops",2,3,-2,"Biden Scolds Trump Over Report on Russian Bounties on U.S. Troops",1,1,NA
"244","Biden Declared the War Over. But Wars Go On.",NA,-2,-2,"Biden Declared the War Over. But the Wars Go On.",NA,-2,-2
"245","Biden Defends Afghan Pullout and Declares an End to Nation-Building",NA,2,NA,"Spurning Critics Biden Calls Exit Notable Success",0,7,0
"246","Biden Defends Afghanistan Evacuation as Thousands Besiege Kabul Airport",-1,0,NA,"Despair in Kabul Undercuts Biden on Rescue Effort",-2,1,-1
"247","Biden Faces a Tragedy He Pledged to Avoid",-1,-5,-3,"Worst Fear for President Who Hoped For End to Military Condolence Calls",-2,-1,-5
"248","Biden Is Embracing Europe, but Then What? NATO and the E.U. Have Concerns.",-1,NA,NA,"U.S. Says ‘We’re Back,’ but Europe Still Recalls Trauma of Trump Years",0,1,-3
"249","Biden Is Expected to Expand U.S.-India Relations While Stressing Human Rights",NA,1,1,"Biden Expected to Build On Relations With India, Affirming Human Rights",NA,2,NA
"250","Biden Names Two Obama White House Veterans to New Roles",NA,NA,NA,"Biden Selects Two Familiar Names, but for Surprising Cabinet Roles",NA,5,NA
"251","Biden Officials Open to Tightening Law Authorizing War on Terrorist Groups",NA,-5,-2,"Biden Administration Is Open to Tightening Law Authorizing War on Terror",-1,-3,-5
"252","Biden Officials Place Hope in Taliban’s Desire for Legitimacy and Money",NA,10,3,"Officials Suggest Global Image May Be Moderating Force on Taliban",NA,-2,NA
"253","Biden Orders Sweeping Assessment of Russian Hacking, Even While Renewing Nuclear Treaty",1,2,NA,"U.S. to Target Russian Hacking,  Even as It Seeks Accord on Arms",NA,2,NA
"254","Biden Plans to Tap Lloyd Austin, Former Iraq Commander, as Defense Secretary",NA,0,NA,"Biden to Choose Retired General To Lead Defense",1,1,NA
"255","Biden Plays the Long Game as He Justifies the End of the ‘Forever War’",NA,-2,-2,"As Debate Rages On, Biden Plays Long Game",NA,1,NA
"256","Biden Preparing to Declare That Atrocities Against Armenia Were Genocide",-2,NA,NA,"Biden to Declare Ottomans’ Atrocities Against Armenia Were Genocide",-2,NA,NA
"257","Biden Ran on Competence and Empathy. Afghanistan Is Testing That.",1,3,NA,"A Presidency And Its Values Put to the Test",NA,NA,NA
"258","Biden Rattles U.K. With His Afghanistan Policy",-1,1,NA,"Britain Smarts as Biden Leaves Top U.S. Ally Out of Withdrawal Decision",1,5,-1
"259","Biden Receives Bodies of Service Members Killed in Kabul Bombing",-1,NA,-3,"Biden Receives Remains of Service Members After Terrorist Attack",-1,-8,-1
"260","Biden Says Afghans Must ‘Decide Their Future’ as U.S. Troops Withdraw",NA,-2,NA,"In Meeting With Afghan Leader, Biden Pledges Aid After U.S. Withdrawal",NA,3,-3
"261","Biden Says Troops May Stay in Kabul Longer to Assist Evacuations",NA,2,NA,"Troops May Stay Longer In Kabul, Biden Says",NA,NA,NA
"262","Biden Says Trump ‘Surrendered’ to Coronavirus in Blistering Speech",0,2,NA,"Biden, in Blistering Speech, Says Trump ‘Surrendered’ to the Coronavirus",0,2,NA
"263","Biden Says Withdrawing U.S. Forces From Afghanistan by May Deadline Is ‘Tough’",1,-2,NA,"Afghanistan Exit by May 1 Will Be Tough, Biden Says",1,-2,NA
"264","Biden Seeks Shift in How the Nation Serves Its People",NA,1,NA,"Biden Makes Case to Vastly Expand Government Role",NA,-2,1
"265","Biden Seeks Update for a Much-Stretched Law That Authorizes the War on Terrorism",-1,-6,-2,"Biden Seeks Update for Much-Stretched Law That Authorizes the War on Terrorism",-1,-6,-2
"266","Biden Sends Dueling Messages on Afghanistan",NA,NA,NA,"Achieving a U.S. Exit While Avoiding a Sense of Abandonment",NA,-3,NA
"267","Biden stands behind Afghan withdrawal, despite ‘hard and messy’ final days.",-2,-2,-4,"Facing Afghan Chaos, Biden Defends Exit",-1,-4,-2
"268","Biden Sticks to Afghan Deadline, Resisting Pleas to Extend Evacuation",-1,-4,1,"Rebuffing Allies, Biden is Sticking to Exit Deadline",NA,NA,NA
"269","Biden Still Wants to Close Guantánamo Prison",-1,-4,-2,"Closing Guantánamo May Be Politically Toxic, but Biden Remains on Board",-1,-2,NA
"270","Biden Takes Two Paths to Wind Down Iraq and Afghan Wars",NA,NA,NA,"In Winding Down Wars, Biden Takes Two Paths for Iraq and Afghanistan",NA,NA,NA
"271","Biden Taps Pete Buttigieg for Transportation Secretary",NA,NA,NA,"Former Rival As Partner For Agenda On Climate",-1,1,NA
"272","Biden to Push Global Plan to Battle Covid as National Gaps Widen",NA,-1,-1,"Biden to Endorse Plan to Deliver More Vaccines to Poorer Countries",0,1,0
"273","Biden to Welcome More Refugees, but Far From All Will Get In",NA,NA,NA,"Gutted System Will Test Biden Vow to Welcome More of World’s Needy",-1,4,-2
"274","Biden to Withdraw All Combat Troops From Afghanistan by Sept. 11",NA,-5,-1,"Biden Sets End Date for Nation’s Longest War",NA,-2,-2
"275","Biden Tours Hurricane Ida Damage in New Orleans",-1,-6,-3,"Biden Tours New Orleans And Its Hurricane Damage",-1,-6,-3
"276","Biden Victory Brings Sighs of Relief Overseas",2,5,NA,"Relief and Joy Overseas: ‘Welcome Back America!’",2,3,3
"277","Biden Visits Walter Reed, the Hospital That Treated Both Him and His Son",NA,-1,NA,"Visiting Troops, Biden Recalls His Own Past At Walter Reed",NA,NA,NA
"278","Biden Vows ‘Unshakable Partnership’ With Israel in Meeting With Bennett",NA,2,NA,"President  Underscores ‘Partnership’ With Israel",NA,4,NA
"279","Biden Warns Putin to Act Against Ransomware Groups, or U.S. Will Strike Back",-1,-2,-3,"Biden Cautions Putin to Control Cybercriminals",NA,NA,NA
"280","Biden Will Nominate First Women to Lead Treasury and Intelligence, and First Latino to Run Homeland Security",2,3,NA,"Yellen to Treasury in Cabinet Full of Firsts",NA,2,NA
"281","Biden, Setting Afghanistan Withdrawal, Says ‘It Is Time to End the Forever War’",NA,-1,-5,"‘It Is Time to End the Forever War’",NA,-1,-2
"282","Biden, Speaking to National Guard Group, Takes Aim at Republican Criticism on Crime",-2,-4,-5,"Biden, Addressing National Guard, Counters G.O.P. Convention Claims",NA,2,NA
"283","Biden’s Afghan Pullout Is a Victory for Pakistan. But at What Cost?",1,4,NA,"As U.S. Exits, Pakistan Sees A Door Open",NA,NA,NA
"284","Biden’s Inaccurate Claims in Defending Afghanistan Withdrawal",-1,0,-3,"Clarifying Biden’s Take of Evacuation",NA,-1,NA
"285","Biden’s Meeting With Israeli Leader Delayed After Kabul Attack",-2,-2,-2,"Biden’s Meeting With Israeli Leader to Reset Relations Is Pushed Back by One Day",NA,2,NA
"286","Biden’s National Security Team Offers a Sharp Turn. But in Which Direction?",1,1,NA,"Biden Picks Team Set on Fortifying World Alliances",NA,1,NA
"287","Biden’s Pentagon Pick Reignites Debate Over Civilian Control of Military",NA,1,NA,"Congress Frets Over General In Civilian Job",-1,1,NA
"288","Biden’s Plan to End Afghanistan War Gives Some Detainees Hope for Release",NA,4,0,"Pullout From Afghanistan Gives Guantánamo Detainees Hope for Release",NA,5,2
"289","Biden’s Vaccine Push Aligns Him With a Fed-Up, Vaccinated Majority",NA,4,NA,"Vaccine Push Aligns Biden  With a Frustrated Majority",-1,2,-2
"290","Blast at Pakistani Religious School Kills at Least 8",-1,-1,-3,"Explosion Kills Eight At Madrasa In Pakistan",-1,-1,-3
"291","Blast That Killed Chinese Workers in Pakistan Was a Terrorist Attack, Officials Say",-2,-9,-4,"Pakistan Blast That Killed 13 Was a Terrorist Attack",-2,-9,-4
"292","Blinken and G7 Allies Turn Their Focus to ‘Democratic Values’",NA,1,NA,"U.S. and G7 Allies Focus On ‘Democratic Values’",NA,1,NA
"293","Blinken, Without Leaving Home, Tries to Mend Fences With Allies Abroad",NA,NA,NA,"Blinken Is Mending Diplomatic Fences, Without Leaving Home",1,3,NA
"294","Blinken’s Welcome by NATO Doesn’t Hide Differences on Key Issues",-1,-1,-1,"In Europe, Blinken’s Warm Words for Allies Don’t Hide Differences",1,-3,0
"295","Blood Lust and Demigods: Behind an Australian Force’s Slaughter of Helpless Afghans",-2,-7,-2,"Blood Lust and Demigods:Behind Slaughter of AfghansBy Elite Australian Squadron",0,0,NA
"296","Body Bags and Enemy Lists: How Far-Right Police Officers and Ex-Soldiers Planned for ‘Day X’",-1,-3,-2,"Plans for German ‘Day X’  Show Revival of Far Right  ",1,4,NA
"297","Body of Reuters Photographer Was Mutilated in Taliban Custody, Officials Say",NA,-1,NA,"Body of Reuters Photojournalist Was Mutilated in Taliban Custody, Officials Say",NA,-1,NA
"298","Body Parts Found in Landing Gear of Flight From Kabul, Officials Say",NA,4,NA,"Body Parts  Found Inside  Landing Gear Of U.S. Plane",NA,4,NA
"299","Bolton Says Trump Impeachment Inquiry Missed Other Troubling Episodes",-1,2,-2,"Bolton’s Book Says Trump’s Offenses Exceeded Ukraine",0,NA,NA
"300","Bombing Outside Afghan School Kills at Least 90, With Girls as Targets",-1,1,-3,"Explosions Rock School in Kabul, Leaving 30 Dead",-1,2,-3
"301","Border Clashes With Pakistan Leave 15 Afghan Civilians Dead, Officials Say",-1,-1,-4,"Afghans’ Clash  With Pakistan Over Border  Kills 15 People",-2,-2,-5
"302","Border Standoff Over Afghan Migrants Highlights E.U. Fears of New Influx",-1,-3,NA,"Border Standoff Sharply Highlights E.U. Fears of a New Influx",-2,-3,NA
"303","Boris Johnson Cuts a Colorful Swath in U.S., but to What End?",1,NA,-1,"U.K. Leader Tells Jokes But Makes Little News During Visit to the U.S.",NA,3,2
"304","Born Into Carnage, 18 Afghan Babies Face an Uncertain Fate",-2,-7,-1,"18 New Lives Born Into Carnage and Confusion",-2,-7,NA
"305","Bounties Uproar Casts a Shadow Over a Rare Trump Foreign Policy Achievement",1,4,NA,"Uproar Over Bounties Obscures Trump’s Progress in Exiting Afghanistan",-1,2,2
"306","Breaking With Predecessors, Biden Declares Mass Killings of Armenians a Genocide",-2,NA,NA,"Biden Recognizes Ottoman-Era Massacre of Armenians as Genocide",-2,-5,NA
"307","Britain Accelerates Relocation of Afghan Interpreters to U.K.",NA,NA,NA,"Britain Speeds The Relocation Of Interpreters In Afghanistan",NA,NA,NA
"308","Britons, Unfazed by High Covid Rates, Weigh Their ‘Price of Freedom’",2,5,2,"Britons, Unfazed by High Infection Rates, Weigh Their ‘Price of Freedom’",1,3,2
"309","Budding Resistance to the Taliban Faces Long Odds",-1,-2,NA,"Resistance to Taliban Gets a New Face",-1,-2,NA
"310","Bush Says G.O.P. Has Become ‘to Some Degree Nativist’",NA,1,NA,"Bush Scorns G.O.P. Turn On Borders And Trade",NA,1,NA
"311","By Air and Sea, Mercenaries Landed in Libya. Then the Plan Went South.",NA,3,NA,"‘It’s a Free-for-All’: Libya’s Slide Into Mercenary War",1,-4,-1
"312","C.I.A. Officer Is Killed in Somalia",-1,2,-3,"C.I.A. Officer Is Killed In Combat in Somalia",-1,-1,-4
"313","C.I.A. Scrambles for New Approach in Afghanistan",-1,NA,NA,"Afghan Exit  Forces C.I.A.  To Scramble",-1,NA,NA
"314","C.I.A. Uncensors Memoir of F.B.I. Agent Who Protested Torture of Terrorists",-2,-4,-4,"9 Years Later, F.B.I. Agent Who Protested  Torture Gets to Tell Entire Story in Memoir",-2,-4,-4
"315","Calling ‘Code Red’ on Climate, Biden Pushes for Infrastructure Plan",NA,1,NA,"Biden Calls ‘Code Red’ on Climate in Pushing $1 Trillion Infrastructure Plan",NA,2,NA
"316","Can Afghanistan’s Leading Broadcaster Survive the Taliban?",1,2,NA,"Still Broadcasting From Afghanistan, but Nervously",-1,NA,-2
"317","Canada’s Top Military Officer Steps Aside Amid Investigation",1,5,2,"Canada’s Top Military Officer Steps Aside Amid Investigation",1,5,2
"318","Canadian Veterans Fill Void to Help Afghans Who Once Worked With Them",NA,1,NA,"Canada’s Veterans Assist  Vulnerable Interpreters",-1,2,-2
"319","Capitol Rioters Face the Consequences of Their Selfie Sabotage",-1,-4,-2,"Star Witnesses Against Rioters: Their Online Boasts",NA,4,NA
"320","Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",NA,NA,-2,"Cluster-Bomb Casualties Nearly Doubled in 2019",-1,-3,-1
"321","Casualties From Banned Cluster Bombs Nearly Doubled in 2019, Mostly in Syria",NA,NA,-2,"Cluster-Bomb Casualties Nearly Doubled in 2019",-1,-3,-1
"322","Caving to Islamists, Pakistan’s Parliament Debates Expelling French Ambassador",NA,3,-2,"Caving to Islamists, Pakistan Weighs Expelling French Envoy",NA,NA,-2
"323","Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count",0,7,2,"Census Bureau Adds Top-Level Political Posts, Raising Fears for 2020 Count",0,7,2
"324","Central Asian Border Dispute Casts Shadow Over U.S. Afghan Departure",-1,-4,-2,"U.S. Afghan Exit May Fan Border Strife in Central Asia",-1,-2,3
"325","Chaos Ensues at Kabul Airport as Americans Abandon Afghanistan",-1,-6,-4,"Racing to Get Out as Desperation and Fear Set In",-2,-3,-2
"326","Chaos Persists at Kabul Airport as Taliban Discuss New Government",-1,-5,-2,"Chaos at Airport as Taliban Work on Creating State",-1,-3,-2
"327","Charges in Bali Bombing Case Are Delayed at Guantánamo",-1,-1,-3,"Problems Postpone Guantánamo Arraignment",NA,-4,-1
"328","Charter Flights Delayed as U.S. and Taliban Struggle to Work Together",-2,-5,-3,"Flights Delayed as U.S.  And Taliban Work It Out",-1,-1,-1
"329","Chief Guantánamo Prosecutor Retiring Before Sept. 11 Trial Begins",NA,NA,NA,"In Surprise Move, Chief Guantánamo Prosecutor Is Retiring Before 9/11 Trial",NA,2,NA
"330","China Criticized the Afghan War. Now It Worries About the Withdrawal.",-2,-2,-7,"China Is Wary Of U.S. Pullout In Afghanistan",-1,-1,NA
"331","China Is Preparing for Another Olympics in Beijing, Like It or Not",NA,NA,NA,"Another Olympics Invitation From China, Like It or Not",NA,2,NA
"332","China Offers the Taliban a Warm Welcome While Urging Peace Talks",2,4,3,"China Hails Role of Taliban in ‘Peaceful Reconciliation’ in Afghanistan",2,9,2
"333","China Poses Biggest Threat to U.S., Intelligence Report Says",0,-1,-2,"Intelligence Report Says  China Poses Top Threat",1,2,0
"334","China’s Combative Nationalists See a World Turning Their Way",-1,-3,NA,"China’s Nationalists Sneer at U.S. Troubles",-2,-3,-2
"335","Climate, Covid and Biden’s Challenged Credibility Underline U.N.’s Big Week",NA,3,NA,"Big Week for U.N., With Climate, Covid and Biden’s Credibility Issues in Backdrop",-1,2,NA
"336","Clinic Bombed as Afghan Forces Fend Off Taliban Attack on Kunduz",-1,-5,-1,"Afghan Forces Bomb Clinic as Fight Against Taliban Engulfs Country",-1,-6,-2
"337","Collapse and Conquest: The Taliban Strategy That Seized Afghanistan",-1,-7,-2,"Coaxing and Threats Secured Victory",0,4,0
"338","Congress approves a $2.1 billion emergency spending bill for Capitol security and aid for Afghan refugees.",-1,-1,0," $2.1 Billion For Security And Afghans  Is Approved",NA,NA,2
"339","Congress Moves to Increase Pentagon Budget, Defying Biden and Liberals",NA,2,1,"Defying President, Congress Prepares to Increase the Pentagon’s Budget",NA,4,1
"340","Congress Presses Military Leaders on Suspected Russian Bounties",NA,-1,-1,"Top General Says He’ll Be ‘Outraged’ if Bounties Are True",0,6,1
"341","Congressman Max Rose Deploys With National Guard for Coronavirus Relief",1,3,NA,"Congressman  To Deploy With Guard",NA,2,NA
"342","Conjuring Up the World Through the Sense of Taste",NA,0,NA,"Traveling the World Without Leaving the Kitchen",NA,1,NA
"343","Coronavirus Diplomacy: How China’s Red Cross Serves the Communist Party",NA,-2,NA,"For China’s Red Cross, It’s Hard To Put People Before the Party",-1,-4,-1
"344","Coronavirus Finds Fuel in a World of Migrants",NA,NA,NA,"In a World of Migrant Workers, a World of Risk",-1,-1,-2
"345","Could the Taliban Take Over Afghanistan? Here’s What We Know.",NA,NA,NA,"Could the Taliban Take Control of Afghanistan?",NA,NA,NA
"346","Court in Pakistan Bans ‘Virginity Tests’ in Sexual Violence Cases",NA,-3,-3,"Pakistan Court  Abolishes Tests  For ‘Virginity’  In Rape Cases",-1,-4,-4
"347","Crisis in the Sahel Becoming France’s Forever War",-1,-3,-5,"Lengthy War In the Sahel Strains France",-1,-2,-2
"348","Crisis in the Sahel Becoming France’s Forever War",-1,-3,-5,"Lengthy War In the Sahel Strains France",-1,-2,-2
"349","Danish Siddiqui, Reuters Photojournalist, Is Killed in Afghanistan",-1,NA,-3,"Pulitzer Prize-winning Photojournalist  From Reuters Is Killed in Afghanistan",1,3,1
"350","Day 1 of the End of the U.S. War in Afghanistan",NA,-2,-2,"Dismantling 20 Years of War in Southern Afghanistan",NA,-2,-2
"351","Deadly Explosion Hits Kabul Tutoring Center",-1,-4,NA,"Suicide Attack At Tutor Center Kills at Least 18 In Afghanistan",-3,-4,-6
