date,abstract,lead.paragraph,snippet,section.name,subsection.name,news.desk,byline,headline.main,headline.print,headline.kicker,material,url,,
4/29/2021,Fighting between Tajikistan and Kyrgyzstan raised the specter of instability in the region as the United States prepares to leave Afghanistan.,"MOSCOW — Fighting broke out on Thursday between Kyrgyzstan and Tajikistan over control of an irrigation canal and an access road to an ethnic enclave, raising the specter of instability in Central Asia as the United States prepares to withdraw from Afghanistan.",Fighting between Tajikistan and Kyrgyzstan raised the specter of instability in the region as the United States prepares to leave Afghanistan.,World,Asia Pacific,Foreign,By Andrew E. Kramer,Central Asian Border Dispute Casts Shadow Over U.S. Afghan Departure,U.S. Afghan Exit May Fan Border Strife in Central Asia,NA,News,https://www.nytimes.com/2021/04/29/world/asia/central-asia-border-dispute.html,,
6/29/2020,"The government and the Taliban pointed blame at each other in the latest attack. But in this war, there is diminishing clarity on who is to blame for the bodies piling up.","KANDAHAR, Afghanistan — At least 20 civilians were killed and dozens of others wounded when mortar rounds struck a crowded livestock market in southern Afghanistan on Monday, with the government and the Taliban pointing blame at each other.","The government and the Taliban pointed blame at each other in the latest attack. But in this war, there is diminishing clarity on who is to blame for the bodies piling up.",World,Asia Pacific,Foreign,By Taimoor Shah and Fahim Abed,Mortar Strikes Kill at Least 20 at Livestock Auction in Afghanistan,NA,NA,News,https://www.nytimes.com/2020/06/29/world/asia/afghanistan-market-mortar-attack.html,,
8/23/2020,"Instead of mass-casualty attacks, the Taliban are carrying out targeted assaults in the capital and neighboring districts. The country’s security forces seem unable to control them.","KABUL, Afghanistan — Mornings in the city begin with “sticky bombs,” explosives slapped onto vehicles that go up in flames. With night comes the dread of hit-and-run assassinations in the nearby suburbs — government employees shot dead by motorcycle-riding insurgents who roam free.","Instead of mass-casualty attacks, the Taliban are carrying out targeted assaults in the capital and neighboring districts. The country’s security forces seem unable to control them.",World,Asia Pacific,Foreign,"By Mujib Mashal, Fatima Faizi and Najim Rahim","With Delay in Afghan Peace Talks, a Creeping Sense of ‘Siege’ Around Kabul",Taliban Tighten ‘Ring of Siege’ Around Afghan Capital,NA,News,https://www.nytimes.com/2020/08/23/world/asia/afghanistan-taliban-attacks-kabul.html,,
7/28/2020,The developments could inject new optimism into a peace process that had been floundering over disagreements and insurgent attacks.,"KABUL, Afghanistan — The Taliban said on Tuesday that they would observe a three-day cease-fire this week during the Muslim festival of Eid al-Adha, as Afghanistan’s president suggested the long-delayed talks between his government and the insurgents over ending the war could start in a week.",The developments could inject new optimism into a peace process that had been floundering over disagreements and insurgent attacks.,World,Asia Pacific,Foreign,By Mujib Mashal,"Taliban Announce Brief Cease-Fire, as Afghan Peace Talks Look Imminent",Taliban-Afghan Peace Talks May Start After a Cease-Fire for a Muslim Festival,NA,News,https://www.nytimes.com/2020/07/28/world/asia/afghanistan-cease-fire-taliban.html,,
7/17/2020,"Overhead surveillance is critical to fighting the Taliban, but the American military’s effort to equip Afghan forces has fallen short, according to an independent watchdog.",WASHINGTON — A watchdog report on Thursday harshly criticized a $174 million Pentagon drone program that was meant to give Afghan forces an advantage over the Taliban but has instead shown few gains.,"Overhead surveillance is critical to fighting the Taliban, but the American military’s effort to equip Afghan forces has fallen short, according to an independent watchdog.",World,Asia Pacific,Washington,By Thomas Gibbons-Neff,"$174 Million Afghan Drone Program Is Riddled With Problems, U.S. Report Says","$174 Million Drone Program for Afghans Is Riddled With Problems, Pentagon Says",NA,News,https://www.nytimes.com/2020/07/16/world/asia/afghan-drone-program.html,,
3/24/2020,"The billion-dollar aid cut, accompanied by a stinging American rebuke, came as the country was already grappling with multiple crises.","KABUL, Afghanistan — As President Trump repeatedly expressed fatigue with the long Afghan war, the concern among leaders in Kabul was not that the United States would pull American troops out of Afghanistan but that it would cut crucial funding.","The billion-dollar aid cut, accompanied by a stinging American rebuke, came as the country was already grappling with multiple crises.",World,Asia Pacific,Foreign,By Mujib Mashal,"For Afghanistan Already on Brink, U.S. Aid Cut Is a Big Shove",U.S. Aid Cut May Shove Afghanistan Closer to the Brink,News Analysis,News,https://www.nytimes.com/2020/03/24/world/asia/afghanistan-us-aid-cut.html,,
9/9/2020,"At least 10 bystanders were killed in the attack in Kabul, the second in just over a year aimed at the senior vice president, Amrullah Saleh.","KABUL, Afghanistan — Amrullah Saleh, Afghanistan’s senior vice president and a staunch opponent of the Taliban, survived a bombing that targeted his convoy in the capital on Wednesday, the second deadly attack against him in a little over a year.","At least 10 bystanders were killed in the attack in Kabul, the second in just over a year aimed at the senior vice president, Amrullah Saleh.",World,Asia Pacific,Foreign,By Mujib Mashal,"Afghan Vice President, Staunch Opponent of Taliban, Survives Blast","Afghan Vice President, Staunch Taliban Foe, Survives Blast That Kills 10",NA,News,https://www.nytimes.com/2020/09/09/world/asia/afghanistan-vice-president-attack.html,,
3/22/2020,"The future role of the American Embassy in Kabul is tied to the fate of the peace process and a military withdrawal, even as violence continues.","WASHINGTON — It was once a sideshow to the American military in Afghanistan and later became one of the largest diplomatic missions in the world. Now, as the United States Embassy in Kabul transitions to its newest role, its future is tied to a fragile peace process, one that will withdraw American troops even as violence continues.","The future role of the American Embassy in Kabul is tied to the fate of the peace process and a military withdrawal, even as violence continues.",U.S.,Politics,Washington,By Lara Jakes,"As U.S. Troops Leave Afghanistan, Diplomats Are Left to Fill Uncertain Mission",U.S. Troops’ Afghan Exit Ties Embassy’s Fate to a Fragile Peace Process,NA,News,https://www.nytimes.com/2020/03/22/us/politics/us-embassy-afghanistan.html,,
5/24/2020,President Ashraf Ghani welcomed the Taliban’s announcement of a three-day cessation of violence after months of intensifying attacks.,"KABUL, Afghanistan — The Taliban and the Afghan government announced a cease-fire for the three days of the Islamic festival Eid al-Fitr, which starts on Sunday in Afghanistan, offering the war-torn nation a rare respite from violence that has been intensifying.",President Ashraf Ghani welcomed the Taliban’s announcement of a three-day cessation of violence after months of intensifying attacks.,World,Asia Pacific,Foreign,By Mujib Mashal,Afghan Sides Agree to Rare Cease-Fire During Eid al-Fitr,"For the First Time Since 2018, the Taliban Agree to a Cease-Fire With Afghan Forces",NA,News,https://www.nytimes.com/2020/05/24/world/asia/afghanistan-taliban-cease-fire-eid.html,,
9/15/2020,"Months of delays over issues as big as prisoner swaps and as small as haircuts, with extra coronavirus complications, made the Afghan flight to meet the Taliban no sure bet.","DOHA, Qatar — Until it happened, few believed that it actually would.","Months of delays over issues as big as prisoner swaps and as small as haircuts, with extra coronavirus complications, made the Afghan flight to meet the Taliban no sure bet.",World,Asia Pacific,Foreign,By Mujib Mashal,"To Get to Afghan Talks, Lots of Last-Minute Deals — and Nose Swabs",Last-Second Deals Underscore Frailty of Afghan-Taliban Peace Talks,NA,News,https://www.nytimes.com/2020/09/15/world/asia/afghanistan-taliban-peace-talks.html,,
3/9/2020,"Marathon talks to avoid a split government in Kabul failed, sending the country deeper into a political crisis during Taliban peace negotiations.","KABUL, Afghanistan — Just a few minutes and a thin wall apart, both President Ashraf Ghani and his chief rival, Abdullah Abdullah, took the oath of office as the president of Afghanistan on Monday, plunging the fragile country into a new crisis during sensitive peace talks.","Marathon talks to avoid a split government in Kabul failed, sending the country deeper into a political crisis during Taliban peace negotiations.",World,Asia Pacific,Foreign,"By Mujib Mashal, Fatima Faizi and Najim Rahim","Ghani Takes the Oath of Afghan President. His Rival Does, Too.","Ghani Takes the Oath of Afghan President. His Chief Rival Does, Too.",NA,News,https://www.nytimes.com/2020/03/09/world/asia/afghanistan-president-inauguration-ghani-abdullah-.html,,
9/19/2020,"More than a dozen civilians are feared dead in an airstrike, as talks go on to finalize rules for negotiations.","DOHA, Qatar —  Violence continued unabated across Afghanistan on Saturday,  as negotiators from the warring sides remained bogged down by disagreements over a framework for talks a week after historic negotiations began in Doha.","More than a dozen civilians are feared dead in an airstrike, as talks go on to finalize rules for negotiations.",World,Asia Pacific,Foreign,"By Mujib Mashal, Fatima Faizi and Thomas Gibbons-Neff",Violent Attacks Plague Afghanistan as Peace Talks in Doha Slow,NA,NA,News,https://www.nytimes.com/2020/09/19/world/asia/afghanistan-peace-talks-doha.html,,
4/13/2021,"After years of arguing against an extended military presence in Afghanistan, President Biden is doing things his way, with the deadline for withdrawal set for the 20th anniversary of the terrorist attacks.","WASHINGTON — President Biden will withdraw American combat troops from Afghanistan by Sept. 11, declaring an end to the nation’s longest war and overruling warnings from his military advisers that the departure could prompt a resurgence of the same terrorist threats that sent hundreds of thousands of troops into combat over the past 20 years.","After years of arguing against an extended military presence in Afghanistan, President Biden is doing things his way, with the deadline for withdrawal set for the 20th anniversary of the terrorist attacks.",U.S.,Politics,Washington,"By Helene Cooper, Thomas Gibbons-Neff and Eric Schmitt",Biden to Withdraw All Combat Troops From Afghanistan by Sept. 11,Biden Sets End Date for Nation’s Longest War,NA,News,https://www.nytimes.com/2021/04/13/us/politics/biden-afghanistan-withdrawal.html,,
4/15/2021,"Colbert pointed out that the conflict “has been going on so long, the first ‘Iron Man’ movie opens with Tony Stark in Afghanistan.”","Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. We’re all stuck at home at the moment, so here are the 50 best movies on Netflix right now.","Colbert pointed out that the conflict “has been going on so long, the first ‘Iron Man’ movie opens with Tony Stark in Afghanistan.”",Arts,Television,Culture,By Trish Bendix,Stephen Colbert Applauds Biden’s ‘Endgame’ for Afghanistan’s ‘Infinity War’,NA,Best of Late Night,News,https://www.nytimes.com/2021/04/15/arts/television/stephen-colbert-afghanistan-withdrawal.html,,
3/22/2021,An unusual truce between the government and the Taliban has kept the Islamic State out of one former stronghold. But there is a peace paradox: Unemployed fighters looking for work.,"THE PECH VALLEY, Afghanistan — A valley of wood workshops and green wheat fields, torn apart by violence during two decades of war in eastern Afghanistan, is now strangely quiet — the result of an uneasy truce between the Taliban and the local Afghan government, forged by a mutual enemy.",An unusual truce between the government and the Taliban has kept the Islamic State out of one former stronghold. But there is a peace paradox: Unemployed fighters looking for work.,World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Zabihullah Ghazi,Foes in Afghan War See a Common Threat of Islamic State’s Return,Foes in Afghan War See Islamic State as Common Threat,NA,News,https://www.nytimes.com/2021/03/22/world/asia/islamic-state-afghanistan.html,,
5/17/2020,President Ashraf Ghani gave Abdullah Abdullah the leading role in seeking peace with the Taliban and the ability to name half the cabinet.,"KABUL, Afghanistan — Afghanistan’s monthslong election dispute, which resulted in the bizarre reality of two men taking the oath of office as president, reached a resolution on Sunday when President Ashraf Ghani gave his chief rival, Abdullah Abdullah, the leading role in the country’s peace process with the Taliban and the right to appoint half the cabinet.",President Ashraf Ghani gave Abdullah Abdullah the leading role in seeking peace with the Taliban and the ability to name half the cabinet.,World,Asia Pacific,Foreign,By Mujib Mashal,Afghan Rivals Sign Power-Sharing Deal as Political Crisis Subsides,"Afghan Rivals Divide Power, Ending Fight Over Election",NA,News,https://www.nytimes.com/2020/05/17/world/asia/afghanistan-ghani-abdullah.html,,
3/18/2021,"The crash occurred in eastern Afghanistan, where security and militia forces have been in a tense, and sometimes violent, standoff since January.","KABUL, Afghanistan — Nine security personnel were killed after an Afghan military helicopter was downed, likely by militia forces, in eastern Afghanistan early Thursday, signaling a drastic rift between the Afghan government and the regional forces supposedly under its control.","The crash occurred in eastern Afghanistan, where security and militia forces have been in a tense, and sometimes violent, standoff since January.",World,Asia Pacific,Foreign,By Thomas Gibbons-Neff and Najim Rahim,"At Least 9 Dead in Afghan Helicopter Crash, After Clashes With Local Militia",At Least 9 Die in Crash of Afghan Military Copter After Clashes With Local Militia,NA,News,https://www.nytimes.com/2021/03/18/world/asia/afghanistan-helicopter-crash-militias.html,,
5/16/2020,"The case is still open against Gen. Abdul Rashid Dostum, a strongman from Afghanistan’s civil war. But he would become a marshal in order to help settle a bitter election dispute.","KABUL, Afghanistan — The two sides in the monthslong dispute over Afghanistan’s presidential election are close to signing a power-sharing deal, the terms of which include giving top military honors to a former vice president who is accused of torturing and ordering the rape of a political rival while in office.","The case is still open against Gen. Abdul Rashid Dostum, a strongman from Afghanistan’s civil war. But he would become a marshal in order to help settle a bitter election dispute.",World,Asia Pacific,Foreign,By Mujib Mashal,Afghan Power-Sharing Deal Would Promote General Accused of Rape,Afghans’ Power-Sharing Accord  Honors Official Accused in Rape,NA,News,https://www.nytimes.com/2020/05/16/world/asia/afghanistan-general-rape-dostum.html,,
5/11/2020,Another influential family was split by the war when a retired province police chief defected to the insurgency. His son remains deputy governor.,"KABUL, Afghanistan — As a onetime police chief of the restive province of Farah in western Afghanistan, Gen. Abdul Jalil Bakhtawar was a dogged enemy of the Taliban.",Another influential family was split by the war when a retired province police chief defected to the insurgency. His son remains deputy governor.,World,Asia Pacific,Foreign,By Mujib Mashal,This Afghan General Fought the Taliban for Years. Now He Has Joined Them.,"Prominent Retired General Joins Taliban, Stunning the Afghan Government",NA,News,https://www.nytimes.com/2020/05/11/world/asia/taliban-general-defect-afghanistan.html,,
4/15/2021,"For the American public, there was never any great outcry for withdrawing, polling suggests.",,"For the American public, there was never any great outcry for withdrawing, polling suggests.",U.S.,Politics,Politics,By Giovanni Russonello,"As Biden Pulls Out of Afghanistan, How Much Do Americans Care?",NA,On Politics,News,https://www.nytimes.com/2021/04/15/us/politics/afghanistan-polling.html,,
11/6/2020,"Zarifa Ghafari, one of the few female mayors in Afghanistan, has been subjected to death threats and assassination attempts, and believes her father was gunned down because of her.","KABUL, Afghanistan — Zarifa Ghafari, one of Afghanistan’s first female mayors, had been expecting to be assassinated. But on Thursday night, it was her father who was cut down by gunmen in front of his house in Kabul, the capital.","Zarifa Ghafari, one of the few female mayors in Afghanistan, has been subjected to death threats and assassination attempts, and believes her father was gunned down because of her.",World,Asia Pacific,Foreign,By Fatima Faizi and Thomas Gibbons-Neff,"An Afghan Mayor Expected to Die. Instead, She Lost Her Father.",NA,NA,News,https://www.nytimes.com/2020/11/06/world/asia/afghanistan-mayor-zarifa-ghafari.html,,
11/24/2020,We lost.,"The Defense Department recently announced troop withdrawals by Jan. 15 that will reduce American forces in Iraq and Afghanistan to 2,500 each from their one-time highs of some 170,000 and 100,000 troops, respectively. This drawdown makes explicit what those of us who served in the military have long realized: We lost.",We lost.,Opinion,NA,OpEd,By Timothy Kudo,The Truth That Iraq and Afghanistan Veterans Know,Two Costly Wars and a Legacy of Shame,NA,Op-Ed,https://www.nytimes.com/2020/11/24/opinion/iraq-afghanistan-troop-withdrawal.html,,
3/3/2020,"In this lesson, students will learn about the accord signed on Feb. 29 that marks the beginning of the end of the United States’ longest war.","Featured Article: “After 18 Years, Is This Afghan Peace, or Just a Way Out?” by David E. Sanger","In this lesson, students will learn about the accord signed on Feb. 29 that marks the beginning of the end of the United States’ longest war.",The Learning Network,NA,Learning,By Natalie Proulx,"Lesson of the Day: ‘After 18 Years, Is This Afghan Peace, or Just a Way Out?’",NA,current events,News,https://www.nytimes.com/2020/03/03/learning/lesson-of-the-day-after-18-years-is-this-afghan-peace-or-just-a-way-out.html,,
10/16/2020,"The national security adviser, Robert C. O’Brien, reiterated a plan to draw down troops to 2,500 by early 2021, sidestepping President Trump’s call for a Christmas exit.","WASHINGTON — President Trump’s national security adviser, Robert C. O’Brien, added to the confusion around Mr. Trump’s plans for Afghanistan on Friday, reiterating an assertion that the United States will draw down to about 2,500 troops by early next year — and indirectly rebuking the Joint Chiefs of Staff chairman for openly questioning that timeline.","The national security adviser, Robert C. O’Brien, reiterated a plan to draw down troops to 2,500 by early 2021, sidestepping President Trump’s call for a Christmas exit.",U.S.,Politics,Washington,By Michael Crowley,"Trump Aide Insists U.S. Will Reduce Forces in Afghanistan to 2,500 Troops",NA,NA,News,https://www.nytimes.com/2020/10/16/us/politics/trump-afghanistan-troops.html,,
4/15/2021,"Drones, long-range bombers and spy networks will be used in an effort to prevent Afghanistan from re-emerging as a terrorist base to threaten the United States.","WASHINGTON — American troops are set to leave Afghanistan no later than Sept. 11, but the Pentagon, American spy agencies and Western allies are refining plans to deploy a less visible but still potent force in the region to prevent the country from again becoming a terrorist base.","Drones, long-range bombers and spy networks will be used in an effort to prevent Afghanistan from re-emerging as a terrorist base to threaten the United States.",U.S.,Politics,Washington,By Eric Schmitt and Helene Cooper,How the U.S. Plans to Fight From Afar After Troops Exit Afghanistan,U.S. Surveys Options to Strike From Afar After Exit From Afghanistan,NA,News,https://www.nytimes.com/2021/04/15/us/politics/united-states-al-qaeda-afghanistan.html,,
10/5/2020,The children of the war against the Soviets carry legacies of loss and determination — and their own generation’s crimes — as they meet to try to break a cycle of devastation.,"DOHA, Qatar — They are here to end their fathers’ war.",The children of the war against the Soviets carry legacies of loss and determination — and their own generation’s crimes — as they meet to try to break a cycle of devastation.,World,Asia Pacific,Foreign,By Mujib Mashal,"At Afghan Peace Talks, Hoping to End Their Fathers’ War",It Was Their Fathers’ War. They Aim to End It.,NA,News,https://www.nytimes.com/2020/10/05/world/asia/afghan-peace-talks-children.html,,
11/2/2020,"As the U.S. retreats and peace talks stall, the Taliban have increasingly taken over Afghanistan’s highways, raising millions in unofficial taxes and strengthening their negotiating position.","KABUL, Afghanistan — When the long-haul trucker drives past this hilltop police outpost in southern Afghanistan each week, he knows exactly what to do. The officers toss down a box tied to a length of rope and like all drivers, the trucker places 5,000 afghanis — about $65 — in the box, which the officers then reel back up to their outpost.","As the U.S. retreats and peace talks stall, the Taliban have increasingly taken over Afghanistan’s highways, raising millions in unofficial taxes and strengthening their negotiating position.",World,Asia Pacific,Foreign,By David Zucchino and Fahim Abed,"On Afghan Highways, Even the Police Fear the Taliban’s Toll Collectors",NA,NA,News,https://www.nytimes.com/2020/11/01/world/asia/afghanistan-taliban-bribery.html,,
10/15/2020,"The president’s demands to draw down forces in Afghanistan, Somalia and Syria seek to fulfill a campaign promise. But officials warn rapid troop reductions could bolster adversaries.",WASHINGTON — President Trump’s surprise tweet last week that he would pull all U.S. troops from Afghanistan by Christmas is not the only important military mission he may abruptly shrink or end as Election Day nears.,"The president’s demands to draw down forces in Afghanistan, Somalia and Syria seek to fulfill a campaign promise. But officials warn rapid troop reductions could bolster adversaries.",U.S.,Politics,Washington,By Eric Schmitt,Trump’s Tweets on Troop Withdrawals Unnerve Pentagon,Trump’s New Push to Withdraw Troops Catches Pentagon Off Guard,News Analysis,News,https://www.nytimes.com/2020/10/15/us/politics/trump-troop-withdrawals.html,,
4/15/2021,Pakistan’s military stayed allied to both the Americans and Taliban. But now the country may face intensified extremism at home as a result of a perceived Taliban victory.,"Near the peak of the American war in Afghanistan, a former chief of neighboring Pakistan’s military intelligence — an institution allied both to the U.S. military and to its Taliban adversaries — appeared on a talk show called “Joke Night” in 2014. He put a bold prediction on the record.",Pakistan’s military stayed allied to both the Americans and Taliban. But now the country may face intensified extremism at home as a result of a perceived Taliban victory.,World,Asia Pacific,Foreign,"By Mujib Mashal, Salman Masood and Zia ur-Rehman",Biden’s Afghan Pullout Is a Victory for Pakistan. But at What Cost?,"As U.S. Exits, Pakistan Sees A Door Open",News Analysis,News,https://www.nytimes.com/2021/04/15/world/asia/pakistan-afghanistan-withdrawal.html,,
7/2/2020,The president was already impatient to end a troop deployment in Afghanistan he has called “ridiculous.” Now a new issue is causing him fresh political damage.,"For a president with few tangible foreign policy accomplishments under his belt, Afghanistan had come to look something like a bright spot.",The president was already impatient to end a troop deployment in Afghanistan he has called “ridiculous.” Now a new issue is causing him fresh political damage.,U.S.,Politics,Washington,By Michael Crowley,Bounties Uproar Casts a Shadow Over a Rare Trump Foreign Policy Achievement,Uproar Over Bounties Obscures Trump’s Progress in Exiting Afghanistan,White house memo,News,https://www.nytimes.com/2020/07/02/us/politics/trump-afghanistan-russia-bounty.html,,
3/5/2020,"If the U.S. military withdrawal does not lead to a further descent into chaos in Afghanistan, next-door Pakistan could be the real winner.",WASHINGTON — It was three days after the Sept. 11 attacks when Pakistan’s president yielded to the American demands — but also delivered a warning.,"If the U.S. military withdrawal does not lead to a further descent into chaos in Afghanistan, next-door Pakistan could be the real winner.",World,Asia Pacific,Washington,By Mark Mazzetti and Ismail Khan,"From the Afghan Peace Deal, a Weak and Pliable Neighbor for Pakistan","U.S.-Taliban Deal May Give Pakistan a Weak, Pliable Neighbor",News Analysis,News,https://www.nytimes.com/2020/03/05/world/asia/afghanistan-pakistan-peace.html,,
4/14/2021,"President Biden formally announced his decision to end the 20-year, largely unsuccessful American effort to remake Afghanistan, declaring on Wednesday that he would withdraw the remaining few thousand United States troops in the country by Sept. 11.","President Biden formally announced his decision to end the 20-year, largely unsuccessful American effort to remake Afghanistan, declaring on Wednesday that he would withdraw the remaining few thousand United States troops in the country by Sept. 11.",,U.S.,NA,Washington,By David E. Sanger and Michael D. Shear,"Biden, saying it is ‘time to end America’s longest war,’ declares troops will be out of Afghanistan by Sept. 11.",NA,NA,News,https://www.nytimes.com/2021/04/14/us/biden-afghanistan-troops.html,,
4/13/2021,The president’s choice to set a firm date for a full withdrawal reflected a belief that the priorities of 2021 require moving on from policies set in 2001.,"WASHINGTON — President Biden’s decision to pull all American troops from Afghanistan by Sept. 11 was rooted in his belief that there is no room for continuing 20 years of failed efforts to remake that country, especially at a moment when he wants the United States focused on a transformational economic and social agenda at home and other fast-evolving threats from abroad.",The president’s choice to set a firm date for a full withdrawal reflected a belief that the priorities of 2021 require moving on from policies set in 2001.,U.S.,Politics,Washington,By David E. Sanger,"With Afghan Decision, Biden Seeks to Focus U.S. on New Challenges","Biden’s Decision Prioritizes Nation-Building at Home, Not in Kabul",news analysis,News Analysis,https://www.nytimes.com/2021/04/13/us/politics/biden-afghanistan-foreign-policy.html,,
11/18/2020,"An elite commando unit supported by U.S. forces could fall apart, officials say, leaving the country more vulnerable to the Shabab and other terrorist groups.","NAIROBI, Kenya — The American-trained Somali commando force Danab is usually deployed to counter the Qaeda-linked group Al Shabab: liberating areas it controls, ending its attacks on government offices and beachside restaurants, and targeting senior Shabab operatives.","An elite commando unit supported by U.S. forces could fall apart, officials say, leaving the country more vulnerable to the Shabab and other terrorist groups.",World,Africa,Foreign,By Abdi Latif Dahir and Eric Schmitt,Somalia Worries That a U.S. Withdrawal Will Be Disastrous,Somalia Worries U.S. Pullout Could Lead to Disaster ,NA,News,https://www.nytimes.com/2020/11/18/world/africa/somalia-us-troops.html,,
10/11/2020,President Trump has brought home few American combat troops over all even as his pressure campaign against Iran risks a new Middle East conflict.,"When President Trump said on Twitter last week that all American troops in Afghanistan might be home by Christmas, he was reiterating a goal that has eluded him for years — and most likely hoping that when it comes to ending military deployments, voters will give him more credit for his messaging than for his results.",President Trump has brought home few American combat troops over all even as his pressure campaign against Iran risks a new Middle East conflict.,U.S.,Politics,Washington,By Michael Crowley,Trump’s Campaign Talk of Troop Withdrawals Doesn’t Match Military Reality,"Trump Boasts of Withdrawing Troops, but Thousands Remain in Harm’s Way",NA,News,https://www.nytimes.com/2020/10/11/us/politics/trump-troop-withdrawals-war.html,,
7/13/2020,"Insurgents bombed the entrance of an Afghan intelligence complex in a provincial capital, then stormed the offices in a sustained gun battle, killing at least 11.","KABUL, Afghanistan — The Taliban waged a sustained assault against an Afghan intelligence complex in the city of Aybak on Monday, killing at least 11 people and wounding more than 60 others, part of a bloody wave of violence across the country’s north.","Insurgents bombed the entrance of an Afghan intelligence complex in a provincial capital, then stormed the offices in a sustained gun battle, killing at least 11.",World,Asia Pacific,Foreign,By Mujib Mashal and Najim Rahim,"Taliban Stage a Major Attack, as Violence Intensifies in Northern Afghanistan",Taliban Stage Major Attack; Violence Intensifies in North,NA,News,https://www.nytimes.com/2020/07/13/world/asia/afghanistan-attack-aybak.html,,
4/17/2021,"Over two decades of war, the Pentagon had fended off the political instincts of elected leaders frustrated with the grind of Afghanistan. But President Biden refused to be persuaded.","WASHINGTON — President Biden used his daily national security briefing on the morning of April 6 to deliver the news that his senior military leaders suspected was coming. He wanted all American troops out of Afghanistan by Sept. 11, the 20th anniversary of the attacks on New York and the Pentagon.","Over two decades of war, the Pentagon had fended off the political instincts of elected leaders frustrated with the grind of Afghanistan. But President Biden refused to be persuaded.",U.S.,Politics,Washington,"By Helene Cooper, Eric Schmitt and David E. Sanger","Debating Exit From Afghanistan, Biden Rejected Generals’ Views","Debating Exit, Biden Rejected Generals’ View",NA,News,https://www.nytimes.com/2021/04/17/us/politics/biden-afghanistan-withdrawal.html,,
6/4/2020,An Afghan police officer who killed two American military advisers in 2012 is released early from his 20-year sentence.,"Eight years ago, Peggy Marchanti and Holly Loftis were told that their husbands, serving as military advisers in Afghanistan, had been fatally shot by an Afghan policeman.",An Afghan police officer who killed two American military advisers in 2012 is released early from his 20-year sentence.,World,Asia Pacific,Foreign,By David Zucchino and Najim Rahim,A Prisoner Release Stuns 2 American War Widows,Man Who Shot U.S. Advisers Is Set Free In Afghanistan,NA,News,https://www.nytimes.com/2020/06/04/world/asia/afghan-prisoner-release-american-killing.html,,
7/27/2020,The guard was abducted while traveling to her home village and later killed. The United Nations says civilians continue to bear the brunt of the Afghan conflict.,"KABUL, Afghanistan — The Taliban abducted and executed a female prison guard in the eastern Afghan province of Ghazni, officials and relatives said Monday, as the United Nations expressed concern over the war’s unending toll on civilians.",The guard was abducted while traveling to her home village and later killed. The United Nations says civilians continue to bear the brunt of the Afghan conflict.,World,Asia Pacific,Foreign,By Mujib Mashal and Najim Rahim,"Taliban Executes Female Prison Guard, and U.N. Raises Concern Over Afghan Violence",Female Guard Is Latest Target of Taliban Violence,NA,News,https://www.nytimes.com/2020/07/27/world/asia/taliban-executes-guard-afghanistan.html,,
8/30/2020,Rockets that U.S. officials say were fired by the insurgent group have landed around two bases used by American forces. A Taliban commander denied involvement.,"KABUL, Afghanistan — Rockets launched at a U.S. military base and a joint U.S.-Afghan airfield in southern Afghanistan in recent weeks are believed to have been fired by the Taliban, according to three American military officials, in what would amount to a clear breach of the peace agreement between the United States and the insurgent group.",Rockets that U.S. officials say were fired by the insurgent group have landed around two bases used by American forces. A Taliban commander denied involvement.,World,Asia Pacific,Foreign,By Thomas Gibbons-Neff,"Taliban Violated Afghan Deal With Shelling of American Bases, U.S. Officials Say","Taliban Violated Peace Deal With Shelling of Bases, U.S. Officials Say",NA,News,https://www.nytimes.com/2020/08/30/world/asia/taliban-afghanistan-peace-us-attacks.html,,
3/8/2020,"The Taliban have read the secret annexes of the recently signed peace deal. But most Americans haven’t, nor have many of their elected representatives.","WASHINGTON — In a secure facility underneath the Capitol, members of Congress stopped by all last week to review two classified annexes to the Afghan peace accord with the Taliban that set the criteria for a critical element of the agreement: What constitutes enough “peace” for the United States to withdraw its forces?","The Taliban have read the secret annexes of the recently signed peace deal. But most Americans haven’t, nor have many of their elected representatives.",World,Asia Pacific,Washington,"By David E. Sanger, Eric Schmitt and Thomas Gibbons-Neff",A Secret Accord With the Taliban: When and How the U.S. Would Leave Afghanistan,U.S. Lawmakers Balk Over Secret Benchmarks Within Taliban Peace Accord,NA,News,https://www.nytimes.com/2020/03/08/world/asia/taliban-afghanistan-annexes-peace-agreement.html,,
11/21/2020,"Secretary of State Mike Pompeo, in Doha, Qatar, met with representatives of the Afghan government and the Taliban, who are at an impasse in peace talks.","KABUL, Afghanistan — Secretary of State Mike Pompeo on Saturday visited the Gulf nation of Qatar, where he met with Afghan and Taliban negotiators who are trying to break a deadlock in their stalled peace negotiations. He landed hours after a deadly rocket attack in Kabul, the latest evidence of the violence spiraling across Afghanistan.","Secretary of State Mike Pompeo, in Doha, Qatar, met with representatives of the Afghan government and the Taliban, who are at an impasse in peace talks.",World,Middle East,Foreign,By Thomas Gibbons-Neff and Fatima Faizi,"As Pompeo Prepared to Meet Afghan Warring Parties, New Attack Struck Kabul",Pompeo Sees Negotiators Just After Kabul Attack,NA,News,https://www.nytimes.com/2020/11/21/world/middleeast/afghanistan-kabul-rocket-attack.html,,
